metric,value
CAGR,0.8278844023959409
Annualized Return,0.7992157571132118
Annualized Volatility,0.6244684337745129
Sharpe Ratio,1.279833717586753
Sortino Ratio,1.7401132908228358
Max Drawdown,-0.27788397180476987
Calmar Ratio,2.979244887782082
Win Rate,0.5671641791044776
Monthly Win Rate,0.5714285714285714
Turnover (Annualized),36.89895688799325
Average Holding Count,5.186567164179104
Average Daily Turnover,0.1464244320952113
Beta vs SPY,1.4174717535286532
Alpha vs SPY,0.52174993137175
Information Ratio vs SPY,1.0146187160463769
