ticker,buy_count,total_buy_value,first_signal_date,last_signal_date,first_trade_date,last_trade_date,name,industry_labels,latest_adj_close
US.AAOI,4,558766.863936892,2026-02-11,2026-06-08,2026-02-12,2026-06-09,Applied Optoelectronics,通讯设备,100.24
US.MU,4,538738.4719594931,2025-12-31,2026-06-23,2026-01-02,2026-06-24,美光科技,半导体,853.2
US.ALAB,3,468071.56906813453,2026-04-24,2026-06-30,2026-04-27,2026-07-01,Astera Labs,半导体,319.74
US.DELL,3,445090.9657491714,2026-03-26,2026-06-23,2026-03-27,2026-06-24,戴尔科技,计算机硬件,391.38
US.GLW,3,414922.14402056154,2026-02-11,2026-06-30,2026-02-12,2026-07-01,康宁,电子元件,158.39
US.SNDK,3,403874.3684791079,2026-01-06,2026-06-15,2026-01-07,2026-06-16,闪迪,计算机硬件,1411.08
US.KLAC,2,315900.0746271306,2026-06-15,2026-06-30,2026-06-16,2026-07-01,科磊,半导体设备与材料,219.37
US.UMC,2,312224.3724133431,2026-05-15,2026-06-23,2026-05-18,2026-06-24,联电,半导体,22.29
US.CRS,2,311287.2424917591,2026-06-08,2026-06-23,2026-06-09,2026-06-24,卡朋特科技,金属加工,554.4
US.OKTA,2,303142.03598501114,2026-06-01,2026-07-08,2026-06-02,2026-07-09,Okta,软件基础设施,147.74
US.IONQ,2,300972.43413370615,2026-04-17,2026-05-22,2026-04-20,2026-05-26,IonQ Inc,计算机硬件,35.1
US.CRDO,2,296074.76924139424,2026-04-17,2026-06-08,2026-04-20,2026-06-09,Credo Technology,半导体,207.97
US.MRVL,2,282694.78237105545,2026-04-02,2026-06-15,2026-04-06,2026-06-16,迈威尔科技,半导体,188.3
US.BE,2,264207.0594959451,2026-01-13,2026-04-24,2026-01-14,2026-04-27,Bloom Energy,电气设备及零件,206.73
US.AXON,2,262452.80339743744,2026-03-05,2026-07-08,2026-03-06,2026-07-09,Axon Enterprise,航空航天与国防,541.75
US.RKLB,2,260729.73506476643,2026-01-06,2026-05-15,2026-01-07,2026-05-18,Rocket Lab,航空航天与国防,67.35
US.INTC,2,260678.35238845902,2026-01-21,2026-04-17,2026-01-22,2026-04-20,英特尔,半导体,96.98
US.LITE,2,252560.83109517355,2026-02-11,2026-04-02,2026-02-12,2026-04-06,Lumentum,通讯设备,706.23
US.STX,2,252086.88655119564,2026-01-28,2026-05-01,2026-01-29,2026-05-04,希捷科技,计算机硬件,745.49
US.CIEN,2,248141.16499780567,2026-02-19,2026-04-02,2026-02-20,2026-04-06,Ciena,通讯设备,388.81
US.CVE,2,238536.02960305108,2026-02-04,2026-02-19,2026-02-05,2026-02-20,Cenovus能源,综合油气,27.23
US.ATI,2,229156.02066931283,2025-12-31,2026-02-26,2026-01-02,2026-02-27,ATI Inc,金属加工,185.51
US.ARM,1,163130.4067310752,2026-06-01,2026-06-01,2026-06-02,2026-06-02,Arm Holdings,半导体,262.01
US.AMAT,1,160576.3972158323,2026-06-30,2026-06-30,2026-07-01,2026-07-01,应用材料,半导体设备与材料,560.93
US.ONTO,1,159934.60506069293,2026-06-30,2026-06-30,2026-07-01,2026-07-01,Onto Innovation,半导体设备与材料,281.61
US.QCOM,1,158408.007192372,2026-05-22,2026-05-22,2026-05-26,2026-05-26,高通,半导体,170.61
US.AKAM,1,154863.5971349412,2026-05-15,2026-05-15,2026-05-18,2026-05-18,阿克迈,软件基础设施,118.81
US.FTNT,1,154863.5971349412,2026-05-15,2026-05-15,2026-05-18,2026-05-18,飞塔信息,软件基础设施,160.78
US.PANW,1,154863.5971349412,2026-05-15,2026-05-15,2026-05-18,2026-05-18,Palo Alto Networks,软件基础设施,353.99
US.CSCO,1,153307.50799219456,2026-06-08,2026-06-08,2026-06-09,2026-06-09,思科,通讯设备,109.66
US.EC,1,152694.76815209776,2026-06-08,2026-06-08,2026-06-09,2026-06-09,哥伦比亚国家石油,综合油气,15.8
US.RMBS,1,151806.57479006634,2026-04-24,2026-04-24,2026-04-27,2026-04-27,Rambus,半导体,101.42
US.AMD,1,143810.267009722,2026-05-08,2026-05-08,2026-05-11,2026-05-11,美国超微公司,半导体,500.94
US.FLEX,1,143810.267009722,2026-05-08,2026-05-08,2026-05-11,2026-05-11,伟创力,电子元件,121.12
US.SITM,1,143810.267009722,2026-05-08,2026-05-08,2026-05-11,2026-05-11,SiTime,半导体,564.59
US.ANET,1,140533.22927545817,2026-07-08,2026-07-08,2026-07-09,2026-07-09,Arista Networks,计算机硬件,168.56
US.RDDT,1,140533.22927545817,2026-07-08,2026-07-08,2026-07-09,2026-07-09,Reddit,互联网内容与信息,185.26
US.TIGO,1,139971.5457052126,2026-07-08,2026-07-08,2026-07-09,2026-07-09,Millicom International Cellular,电信服务,95.58
US.CRWD,1,135612.79781825547,2026-07-15,2026-07-15,2026-07-16,2026-07-16,CrowdStrike,软件基础设施,203.76
US.DINO,1,135612.79781825547,2026-07-15,2026-07-15,2026-07-16,2026-07-16,HF Sinclair,油气炼制与销售,86.84
US.MPC,1,135612.79781825547,2026-07-15,2026-07-15,2026-07-16,2026-07-16,马拉松原油,油气炼制与销售,305.85
US.TOST,1,135179.18375648657,2026-07-15,2026-07-15,2026-07-16,2026-07-16,Toast,软件基础设施,30.33
US.KEYS,1,129156.02066931283,2026-02-26,2026-02-26,2026-02-27,2026-02-27,Keysight Technologies,科技仪器,312.76
US.UI,1,129156.02066931281,2026-02-26,2026-02-26,2026-02-27,2026-02-27,厄比奎蒂,通讯设备,543.92
US.PL,1,127371.10495975713,2026-04-02,2026-04-02,2026-04-06,2026-04-06,Planet Labs PBC,航空航天与国防,22.09
US.TER,1,125189.72613541642,2026-02-11,2026-02-11,2026-02-12,2026-02-12,泰瑞达,半导体设备与材料,322.3
US.VRT,1,124689.36751776886,2026-02-11,2026-02-11,2026-02-12,2026-02-12,Vertiv Holdings,电气设备及零件,294.11
US.APA,1,123980.8245185316,2026-03-26,2026-03-26,2026-03-27,2026-03-27,阿帕奇石油,油气勘探与开发,34.28
US.ESLT,1,121919.57412197931,2026-03-05,2026-03-05,2026-03-06,2026-03-06,埃尔比特系统,航空航天与国防,738.44
US.SPOT,1,121919.5741219793,2026-03-05,2026-03-05,2026-03-06,2026-03-06,Spotify Technology,互联网内容与信息,476.08
US.CEG,1,121919.57412197928,2026-03-05,2026-03-05,2026-03-06,2026-03-06,Constellation Energy,独立电力生产商,251.77
US.VG,1,121432.2856562639,2026-03-05,2026-03-05,2026-03-06,2026-03-06,Venture Global,油气中游,12.67
US.EQNR,1,120787.00179232149,2026-03-19,2026-03-19,2026-03-20,2026-03-20,Equinor,综合油气,35.63
US.TSEM,1,120787.00179232149,2026-03-19,2026-03-19,2026-03-20,2026-03-20,Tower半导体,半导体,237.92
US.TPL,1,120480.44358711799,2026-02-19,2026-02-19,2026-02-20,2026-02-20,Texas Pacific Land,油气勘探与开发,416.05
US.HL,1,117911.09113925933,2026-01-21,2026-01-21,2026-01-22,2026-01-22,赫克拉矿业,其他贵金属和采矿,14.52
US.IMO,1,117765.96956500254,2026-02-04,2026-02-04,2026-02-05,2026-02-05,帝国石油,综合油气,119.77
US.SKM,1,117765.96956500254,2026-02-04,2026-02-04,2026-02-05,2026-02-05,韩国SK电信,电信服务,31.76
US.WLK,1,117765.96956500254,2026-02-04,2026-02-04,2026-02-05,2026-02-05,Westlake,特殊化工用品,77.08
US.AMKR,1,115873.7325292285,2026-04-10,2026-04-10,2026-04-13,2026-04-13,艾马克技术,半导体设备与材料,63.02
US.ASTS,1,114804.34591846848,2026-01-28,2026-01-28,2026-01-29,2026-01-29,AST SpaceMobile,通讯设备,55.01
US.WDC,1,114529.03573640979,2026-01-28,2026-01-28,2026-01-29,2026-01-29,西部数据,计算机硬件,466.81
US.LYB,1,113606.85644164452,2026-03-12,2026-03-12,2026-03-13,2026-03-13,利安德巴塞尔,特殊化工用品,57.8
US.NBIS,1,113606.85644164452,2026-03-12,2026-03-12,2026-03-13,2026-03-13,NEBIUS,互联网内容与信息,171.77
US.OXY,1,113606.85644164452,2026-03-12,2026-03-12,2026-03-13,2026-03-13,西方石油,油气勘探与开发,53.65
US.WDS,1,113606.85644164452,2026-03-12,2026-03-12,2026-03-13,2026-03-13,Woodside Energy,油气勘探与开发,20.6
