metric,value
CAGR,2.127020772745207
Annualized Return,1.2920206659788884
Annualized Volatility,0.5460704830184244
Sharpe Ratio,2.3660327854331134
Sortino Ratio,3.2561909117776606
Max Drawdown,-0.24007620100086324
Calmar Ratio,8.859773538059104
Win Rate,0.5742574257425742
Monthly Win Rate,0.8
Turnover (Annualized),117.06069987687795
Average Holding Count,10.0
Average Daily Turnover,0.46452658681300774
Beta vs SPY,1.382783306214084
Alpha vs SPY,0.9206124316209772
Information Ratio vs SPY,1.9837400418443265
