signal_date,ticker,er3,er8,er20,adv20,adj_close,market_cap_used,vol20_ann,up_day_ratio20,er_consistency_penalty,er20_vol_score,book,stage,rank,trade_date,spy_ma,spy_above_ma,allow_new_buys,market_filter_mode,selection_style,spy_vol_ann,high_vol_regime,target_count_cap,name,industry_labels,spy_adj_close,spy_ma100,action,planned_holding
2026-05-12,US.SITM,0.0535387894546997,0.47989161561292604,0.8364034121019066,297154106.64,847.19,13820587235.96,1.1208539827354127,0.75,0.7828646226472069,0.7462197797260688,long,top10,1,,671.63985796369,True,True,configured_price_above_ma,waterfall,0.09900511649459835,False,10,SiTime,半导体,738.18,685.94303191694,keep,True
2026-05-12,US.INTC,0.09123385808849793,0.2494048071119661,0.8271872210767699,14548190428.2565,120.61,332182938154.82,1.1658418862626543,0.6,0.735953362988272,0.7095192159620277,long,top10,2,,671.63985796369,True,True,configured_price_above_ma,waterfall,0.09900511649459835,False,10,英特尔,半导体,738.18,685.94303191694,keep,True
2026-05-12,US.STRL,0.04020138781455396,0.6239573791723163,0.7697177922733196,434511342.792,851.35,14507078264.56,1.9515839081282687,0.6,0.7295164044587656,0.3944067119366356,long,top10,3,,671.63985796369,True,True,configured_price_above_ma,waterfall,0.09900511649459835,False,10,Sterling Infrastructure,建筑工程,738.18,685.94303191694,buy,True
2026-05-12,US.DDOG,0.05037545244789121,0.4853581957984454,0.7453108668707147,1045157756.4795,199.94,45749438326.41,1.1573199281720343,0.65,0.6949354144228235,0.6439972636157053,long,top10,4,,671.63985796369,True,True,configured_price_above_ma,waterfall,0.09900511649459835,False,10,Datadog,应用软件,738.18,685.94303191694,keep,True
2026-05-12,US.AMD,0.08849103858060459,0.23744382759455274,0.6945621544042837,17148711199.134998,448.29,463835580725.07,0.991225403913971,0.7,0.6060711158236791,0.7007106069534969,long,top10,5,,671.63985796369,True,True,configured_price_above_ma,waterfall,0.09900511649459835,False,10,美国超微公司,半导体,738.18,685.94303191694,keep,True
2026-05-12,US.FLEX,0.04120021808236429,0.49867121622660715,0.6801192296167535,663111995.9205,139.69,31303757889.36,1.4357314364722147,0.75,0.6389190115343892,0.47370922746380617,long,top10,6,,671.63985796369,True,True,configured_price_above_ma,waterfall,0.09900511649459835,False,10,伟创力,电子元件,738.18,685.94303191694,keep,True
2026-05-12,US.AKAM,0.27266495008575253,0.4251591770158416,0.620520521952195,685901241.3375,149.56,14439636547.84,1.0461290256805813,0.65,0.34785557186644245,0.5931586895301966,long,top10,7,,671.63985796369,True,True,configured_price_above_ma,waterfall,0.09900511649459835,False,10,阿克迈,软件基础设施,738.18,685.94303191694,buy,True
2026-05-12,US.UMC,0.050345184864277304,0.2025473732400298,0.6117057155187713,205741339.5615,16.06,30974726642.4,0.7286872785845556,0.65,0.561360530654494,0.8394625973256784,long,top10,8,,671.63985796369,True,True,configured_price_above_ma,waterfall,0.09900511649459835,False,10,联电,半导体,738.18,685.94303191694,buy,True
2026-05-12,US.MU,0.17647863902158756,0.45512621797775843,0.5832671760212875,26757567253.8115,766.58,506781127838.38,0.8230808503799276,0.6,0.40678853699969997,0.7086389821267935,long,top10,9,,671.63985796369,True,True,configured_price_above_ma,waterfall,0.09900511649459835,False,10,美光科技,半导体,738.18,685.94303191694,keep,True
2026-05-12,US.RKLB,0.48703340606768286,0.39763533232169856,0.5648485426294219,2488124437.0024996,117.56,49884478872.0,1.480876713526854,0.6,0.2566112840537076,0.381428472383889,long,top10,10,,671.63985796369,True,True,configured_price_above_ma,waterfall,0.09900511649459835,False,10,Rocket Lab,航空航天与国防,738.18,685.94303191694,keep,True
