date,position,ticker,name,shares,weight,gross_market_value,unrealized_pnl_pct
2026-09-09,多头,US.MPC,马拉松原油,877.4253241880344,0.11586266509273385,350478.7714936685,0.11342382187604927
2026-09-09,多头,US.VLO,瓦莱罗能源,837.1862629287153,0.10764594272226533,325623.59696612385,0.0799967279389533
2026-09-09,多头,US.DELL,戴尔科技,565.9575066276781,0.10014339181483284,302928.7554224647,0.026542279085919995
2026-09-09,多头,US.NEM,纽曼矿业,2331.0578880819917,0.09918526205238162,300030.46077503316,0.01672075524712957
2026-09-09,多头,US.PSX,Phillips 66,1134.4182868423632,0.09779784741753018,295833.60084275145,0.002498750624687629
2026-09-09,多头,US.COP,康菲石油,2166.3514842380787,0.09777747263472453,295771.9681430249,0.0022898943477214218
2026-09-09,多头,US.MU,美光科技,284.58968986782554,0.09669341420000419,292492.74555545504,-0.008822489565715075
2026-09-09,多头,US.SNDK,闪迪,165.62542258251943,0.09659379476969564,292191.40175740334,-0.00347097323878931
2026-09-09,多头,US.CEG,Constellation Energy,970.2325494872151,0.09426806897398454,285156.19745703996,-0.03368403430440259
2026-09-09,多头,US.ORCL,甲骨文,1759.8374378222818,0.09403214032184713,284442.5250752154,-0.036102473822754444
