date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-04-22,long,US.AEHR,619.0932659564386,0.11586678242240647,60274.920373518864,60274.920373518864,Aehr Test Systems,半导体设备与材料,
2026-04-22,long,US.NVTS,2820.141265871494,0.10012904188259714,52088.00918064649,52088.00918064649,纳微半导体,半导体,
2026-04-22,long,US.MXL,1534.1990078577912,0.09994833597466203,51994.004376300545,51994.004376300545,MaxLinear,半导体,
2026-04-22,long,US.YSS,1075.166254686182,0.08980235120123556,46715.97376611461,46715.97376611461,York Space Systems,航空航天与国防,
2026-04-22,long,US.CRDO,243.67580062253685,0.08876075732318442,46174.12745996451,46174.12745996451,Credo Technology,半导体,
2026-04-22,long,US.ACLS,329.5034991100488,0.0886325341387454,46107.424630469126,46107.424630469126,Axcelis Technologies,半导体设备与材料,
2026-04-22,long,US.BE,198.6839300601968,0.0877486742442218,45647.63293133021,45647.63293133021,Bloom Energy,电气设备及零件,
2026-04-22,long,US.TCGL,256.7252162940642,0.08529726139642442,44372.38638426606,44372.38638426606,TechCreate Group,软件基础设施,
2026-04-22,long,US.ALAB,228.44185523410863,0.08521852386415858,44331.42642673112,44331.42642673112,Astera Labs,半导体,
2026-04-22,long,US.LWLG,2794.2018986558987,0.08142903467100454,42360.10078362343,42360.10078362343,Lightwave Logic,特殊化工用品,
2026-04-22,long,US.MRVL,255.16652846837496,0.07716670288135977,40142.79825864475,40142.79825864475,迈威尔科技,半导体,
