date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-05-06,long,US.INTC,1281.4748866758869,0.13552484397939196,144819.47694324199,144819.47694324199,英特尔,半导体,
2026-05-06,long,US.AMD,297.3433155512091,0.11725580330567978,125297.49974012401,125297.49974012401,美国超微公司,半导体,
2026-05-06,long,US.SNDK,81.2949463621633,0.10726757006913933,114624.24847172301,114624.24847172301,闪迪,计算机硬件,
2026-05-06,long,US.STX,144.60930232893259,0.10642477044251515,113723.64753751915,113723.64753751915,希捷科技,计算机硬件,
2026-05-06,long,US.MU,162.35503287262614,0.10127832067228001,108224.24136256386,108224.24136256386,美光科技,半导体,
2026-05-06,long,US.WDC,201.31879407062493,0.09102448815982843,97267.17535522243,97267.17535522243,西部数据,计算机硬件,
2026-05-06,long,US.TXN,332.8363750465644,0.09015322650292852,96336.16039347759,96336.16039347759,德州仪器,半导体,
2026-05-06,long,US.MRVL,547.226863145486,0.08815894351793879,94205.10449049543,94205.10449049543,迈威尔科技,半导体,
2026-05-06,long,US.QCOM,464.61510190013814,0.08372861239601712,89470.9301729096,89470.9301729096,高通,半导体,
2026-05-06,long,US.ARM,356.5698193313425,0.07918342095428094,84614.01812732758,84614.01812732758,Arm Holdings,半导体,
