signal_date,ticker,er3,er8,er20,adv20,adj_close,market_cap_used,vol20_ann,up_day_ratio20,er_consistency_penalty,er20_vol_score,ema_spread_filter_ok,ema_spread_score,ema_spread_pass_pairs,ema_spread_required_pairs,ema_spread_latest_ts,ema_spread_timeframe,book,stage,rank,trade_date,spy_ma,spy_above_ma,allow_new_buys,market_filter_mode,selection_style,spy_vol_ann,high_vol_regime,target_count_cap,name,industry_labels,spy_adj_close,spy_ma100,action,planned_holding,weight,market_value
2026-07-10,US.AMD,0.07126883664529782,0.015280374634823346,0.19248549684846195,15973119417.474499,557.89,567790576074.75,0.809633481512318,0.65,0.23319358422411307,0.23774399310774233,,,,,,,long,top10,1,,692.7310198092949,True,True,configured_price_above_ma,waterfall,0.14603931553644273,False,10,美国超微公司,半导体,754.95,709.3290094817801,buy,True,,
2026-07-10,US.ANET,0.11346981090967212,0.12047939071416414,0.19125207043689585,1429181096.1890001,186.96,214826897817.18,0.661464624727284,0.6,0.07778225952722373,0.2891342383060128,,,,,,,long,top10,2,,692.7310198092949,True,True,configured_price_above_ma,waterfall,0.14603931553644273,False,10,Arista Networks,计算机硬件,754.95,709.3290094817801,keep,True,0.09850700451210348,116691.95850036808
2026-07-10,US.DELL,0.032710698175833164,0.030280478205604977,0.13544187477946013,3274932335.7585,434.97,132998350967.96,0.5777037593368544,0.65,0.10759161654408333,0.234448664372435,,,,,,,long,top10,3,,692.7310198092949,True,True,configured_price_above_ma,waterfall,0.14603931553644273,False,10,戴尔科技,计算机硬件,754.95,709.3290094817801,keep,True,0.09656120355496592,114386.95160603728
2026-07-10,US.META,0.07743819060429158,0.17066928992200747,0.1313444433186115,11814304426.206,669.21,1542168784182.24,0.564297055703886,0.55,0.13255594592111186,0.23275762648588813,,,,,,,long,top10,4,,692.7310198092949,True,True,configured_price_above_ma,waterfall,0.14603931553644273,False,10,Meta Platforms,互联网内容与信息,754.95,709.3290094817801,keep,True,0.11009393879927253,130417.90683959192
2026-07-10,US.VRT,0.03377544306456337,0.01990751578804928,0.09412075959784238,2102288817.369,318.86,124297612857.6,0.8627096000505057,0.6,0.0880811710863072,0.10909900572838446,,,,,,,long,top10,5,,692.7310198092949,True,True,configured_price_above_ma,waterfall,0.14603931553644273,False,10,Vertiv Holdings,电气设备及零件,754.95,709.3290094817801,keep,True,0.09933357283659393,117671.11604451315
2026-07-10,US.TXN,0.05223322838266076,0.07217871286033484,0.06373581480252222,2999343740.701,311.46,252623556925.78,0.6472486815465148,0.65,0.0283883825354867,0.09847191136833829,,,,,,,long,top10,6,,692.7310198092949,True,True,configured_price_above_ma,waterfall,0.14603931553644273,False,10,德州仪器,半导体,754.95,709.3290094817801,keep,True,0.10216675078603328,121027.31477715772
2026-07-10,US.AVGO,0.06904303067245698,0.055063201701394116,0.03420611448188571,11009836039.556,399.97,1959087327834.6,0.5027672901994751,0.5,0.034836916190571277,0.0680356800226886,,,,,,,long,top10,7,,692.7310198092949,True,True,configured_price_above_ma,waterfall,0.14603931553644273,False,10,博通,半导体,754.95,709.3290094817801,keep,True,0.10015337859454215,118642.26261382237
2026-07-10,US.UNP,0.003880254983239295,0.03346598492507802,0.033942702552904436,704238336.7715,286.96,158328471076.775,0.23189600768581375,0.7,0.03006244756966514,0.14637036183430976,,,,,,,long,top10,8,,692.7310198092949,True,True,configured_price_above_ma,waterfall,0.14603931553644273,False,10,联合太平洋,铁路运输,754.95,709.3290094817801,keep,True,0.10045743071055976,119002.4444819038
2026-07-10,US.NVDA,0.06156069064263714,0.06318670639456836,0.011896455762240743,29409281991.8845,210.96,4877974710000.0,0.3610642791654261,0.5,0.05291626638425884,0.03294830435660525,,,,,,,long,top10,9,,692.7310198092949,True,True,configured_price_above_ma,waterfall,0.14603931553644273,False,10,英伟达,半导体,754.95,709.3290094817801,buy,True,,
2026-07-10,US.SCCO,0.026134480047857123,0.02498530901539775,0.007411328749282742,240847937.1555,175.83,140241062010.57,0.5293698387018005,0.55,0.01872315129857438,0.014000285258899344,,,,,,,long,top10,10,,692.7310198092949,True,True,configured_price_above_ma,waterfall,0.14603931553644273,False,10,南方铜业,铜,754.95,709.3290094817801,buy,True,,
