year,start,end,rule,mode,strategy_return,benchmark_return,excess_return,cagr,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,win_rate,monthly_win_rate,turnover_annualized,final_nav,note
2022,2022-01-03,2022-12-31,strategy_with_embedded_hedge,mode_b,-0.1816562132887688,-0.18646259383200026,0.004806380543231459,-0.18230956043768398,-0.17735336245394687,0.21853652779045774,-0.8115501982533598,-1.1417206011199652,-0.2498603490677178,0.4302788844621514,0.3333333333333333,77.92879516842021,0.8183437867112312,
2023,2023-01-01,2023-12-31,strategy_with_embedded_hedge,mode_b,-0.0320742587638988,0.2617602833042272,-0.293834542068126,-0.03232666017225294,-0.010704774414734343,0.21168922609155044,-0.05056834781995371,-0.08152730020336453,-0.2310160150656485,0.504,0.4166666666666667,83.04480978197343,0.9679257412361012,
2024,2024-01-01,2024-12-31,strategy_with_embedded_hedge,mode_b,0.02453493810300844,0.2488624543686917,-0.22432751626568326,0.02453493810300844,0.053292460464849256,0.24076268557512995,0.22134850480482515,0.28514437834842843,-0.24330793942934792,0.5277777777777778,0.5,78.20635772035337,1.0245349381030084,
2025,2025-01-01,2025-12-31,strategy_with_embedded_hedge,mode_b,0.225708327450864,0.17719073766190463,0.04851758978895937,0.22770559145089098,0.2452371566909159,0.2812633017086498,0.8719130978023856,1.020019428353254,-0.2530743517264439,0.54,0.4166666666666667,80.18364573272923,1.225708327450864,
2026,2026-01-01,2026-06-10,strategy_with_embedded_hedge,mode_b,1.1136344059144858,0.06671038069049606,1.0469240252239898,4.554102413615897,1.8188052823380412,0.4465648817232406,4.072880239304731,6.1505625176223715,-0.12360839185795525,0.6,0.6666666666666666,77.30545274864478,2.113634405914486,
