metric,value
CAGR,5.662682905872098
Annualized Return,1.9692189687803543
Annualized Volatility,0.36609230508717033
Sharpe Ratio,5.379023108151544
Sortino Ratio,8.620516798123763
Max Drawdown,-0.07455974650586605
Calmar Ratio,75.94825856102638
Win Rate,0.6153846153846154
Monthly Win Rate,1.0
Turnover (Annualized),79.29334170840187
Average Holding Count,9.974358974358974
Average Daily Turnover,0.3146561178904836
Beta vs SPY,1.2474639697248175
Alpha vs SPY,1.7605397784363492
Information Ratio vs SPY,5.610283097355737
