total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,final_nav,daily_win_rate,best_day,worst_day,variant,ref_mode,start_frac,full_frac,gamma,min_ref,avg_gross,max_gross,days_gross_over_100,days_gross_over_120,days_any_name_at_13
10.908520661101923,0.7439036029892836,0.271412814488539,2.1389890942022647,3.312369699310863,-0.2829249080029115,2.6293323137941194,11.908520661101923,0.5369886858137511,0.10755936479353434,-0.09105985444691705,static_8_each_80max,static,,,,,0.671888598781549,0.7999999999999999,0,0,0
19.986812390578937,0.9804671401204297,0.33926601811067375,2.1389890942022642,3.312369699310863,-0.3435307087546233,2.8540887761529246,20.986812390578937,0.5369886858137511,0.13444920599191792,-0.11382481805864633,static_10_each_100max,static,,,,,0.8398607484769365,0.9999999999999999,0,0,0
46.20983167572038,1.3757922047813098,0.4410458235438759,2.1389890942022642,3.312369699310863,-0.4271950749902865,3.2205244988196373,47.20983167572038,0.5369886858137511,0.17478396778949332,-0.14797226347624023,static_13_each_130max,static,,,,,1.0918189730200174,1.2999999999999998,1149,113,1149
29.963220957969018,1.1611475505668194,0.4048052490397618,2.0640129897400135,3.192878703460247,-0.39824151759803494,2.915686836395656,30.963220957969018,0.536118363794604,0.15064782184552483,-0.14797226347624023,dynamic,full_sample,0.0,0.25,0.5,,1.0279844800926115,1.2998546494342405,869,26,1119
28.437473718607414,1.1367700510120091,0.3994703406204188,2.0584657417816077,3.1849335103992416,-0.3932004297155629,2.8910702153462466,29.437473718607414,0.536118363794604,0.1449521587878587,-0.14797226347624023,dynamic,full_sample,0.0,0.25,0.75,,1.018348400863884,1.2997821326791161,811,17,1119
27.34776234408428,1.118752363900716,0.39555423674972046,2.0539938295913593,3.1780002389947644,-0.3894584360294201,2.8725847494961037,28.34776234408428,0.5369886858137511,0.14093956158305604,-0.14797226347624023,dynamic,full_sample,0.0,0.25,1.0,,1.011173747157223,1.29970972140422,764,12,1119
25.91773036291101,1.0942740989583242,0.39024368215734456,2.0475014680019905,3.1673747690845855,-0.38405540288684337,2.8492610460182406,26.91773036291101,0.5369886858137511,0.13584480488458642,-0.14797226347624023,dynamic,full_sample,0.0,0.25,1.5,,1.0012444209552678,1.2995652146816226,700,8,1119
25.04550335455846,1.0788444615766366,0.38684286007606167,2.043404541142961,3.16004438880252,-0.3801154514324657,2.838202071268109,26.04550335455846,0.5378590078328982,0.132847165912024,-0.14797226347624023,dynamic,full_sample,0.0,0.25,2.0,,0.9947228786092841,1.2994211280417032,657,5,1119
24.07287698894404,1.0611587686764579,0.38277076512703945,2.0392350360205977,3.152040478020492,-0.3763678624936523,2.8194723153185137,25.07287698894404,0.5369886858137511,0.1295574390353092,-0.14797226347624023,dynamic,full_sample,0.0,0.25,3.0,,0.9866904559650866,1.2991342101287073,607,5,1119
23.555496722894507,1.0515332615849182,0.38042081990296467,2.0374497256642203,3.148238664824685,-0.3759806040324497,2.796775286562824,24.555496722894507,0.5352480417754569,0.12781160006518966,-0.14797226347624023,dynamic,full_sample,0.0,0.25,4.0,,0.9819168948451877,1.2988489579382887,586,5,1119
