date,underlying_return,strategy_return,nav,exposure,raw_exposure
2022-01-03,0.0,0.0,1.0,0.8,0.8
2022-01-04,0.0025738518138495,0.0020590814510796003,1.0020590814510797,0.8,0.8
2022-01-05,-0.0308942601496867,-0.02471540811974936,0.977292782292915,0.8,0.8
2022-01-06,-0.010890833356811,-0.008712674813047527,0.9687779480836585,0.8000007462788623,0.8000029851154487
2022-01-07,-0.0046813709193278,-0.00374511074825042,0.9651497673776224,0.8000029933086741,0.8000097343981097
2022-01-10,0.0085476356836316,0.006838159202554815,0.9717496151412593,0.8000059262761551,0.8000147251785981
2022-01-11,0.0033176000592056,0.002654100346971542,0.9743287361319752,0.8000061187625693,0.800006696221812
2022-01-12,0.0079655255655961,0.006372466349973146,0.9805376132167881,0.8000057620173192,0.8000046917815689
2022-01-13,-0.0128779556922213,-0.010302425686164048,0.9704356973241335,0.8000047470567899,0.8000017021752022
2022-01-14,0.0026892686662955,0.0021514298424947097,0.9725235216435788,0.8000055440568272,0.8000079350569396
2022-01-17,-0.0043598948197642,-0.0034879405657676286,0.969131417401275,0.8000056675578863,0.8000060380610633
2022-01-18,-0.0239361432970548,-0.019149072197717113,0.9505734499203821,0.8000065825171297,0.8000093273948604
2022-01-19,-0.0180451136524285,-0.014436431521670358,0.9368505614042885,0.8000188749006583,0.8000557520512439
2022-01-20,-0.0182928527566084,-0.014635197240152203,0.9231395686535894,0.8000500214415793,0.8001434610643426
2022-01-21,-0.0299520279219766,-0.023965050752635116,0.9010164820390404,0.8001144635369187,0.800307789822937
2022-01-24,-0.0033323393072129,-0.002666846526762391,0.8986136093633589,0.8002926115566805,0.800827055615966
2022-01-25,-0.0261932726048644,-0.020966316087893132,0.8797729923885642,0.800446603377061,0.8009085788382023
2022-01-26,-0.0112447307967183,-0.009004538945135854,0.8718510422157226,0.800778525330617,0.8017742911912851
2022-01-27,-0.0099261319541686,-0.007952361000679075,0.8649177679892049,0.8011540686137447,0.802280698463128
2022-01-28,-0.0015221398278126,-0.001220097385056723,0.8638624840821922,0.8015672166006398,0.8028066605613252
2022-01-31,0.0376347391415175,0.030179256861141618,0.8899332118820126,0.8018989250240021,0.8028940502940891
2022-02-01,0.0053613049333748,0.00429836041710276,0.8937584655738313,0.8017377244008121,0.801254122531242
2022-02-02,0.0066988874758587,0.005369668624811645,0.898557652364583,0.8015761787554629,0.8010915418194157
2022-02-03,-0.0213571078849448,-0.01711579493192199,0.8831781238522015,0.8014097706547325,0.8009105463525411
2022-02-04,0.0100176616260205,0.008028690173709985,0.8902688873768092,0.8014535201364522,0.8015847685816112
2022-02-07,0.0031147540926174,0.0024961637212817405,0.892491144275665,0.8013999330470921,0.8012391717790117
2022-02-08,0.0229796807725315,0.01841444166368023,0.9089258703872805,0.8013358342946053,0.8011435380371448
2022-02-09,0.0356654807784694,0.02857343959276807,0.9348970088390957,0.8011511121985866,0.8005969459105305
2022-02-10,-0.0239365980855982,-0.01917090983630635,0.9169741825764088,0.8009036943240821,0.8001614407005685
2022-02-11,-0.0098361773727767,-0.007876631141314793,0.9097515151741459,0.8007817308291649,0.8004158403444133
2022-02-14,-0.0008086705152491,-0.0006475269943935697,0.9091624265098802,0.8007303125106617,0.8005760575551524
2022-02-15,0.061207915612835,0.04900890017170236,0.9537194771105657,0.8006954603993317,0.8005909040653412
2022-02-16,0.0110078181702587,0.008812115388236013,0.9621237631908722,0.8005324263117725,0.8000433240490947
2022-02-17,-0.0217837274125434,-0.01743579050727326,0.9453483748138067,0.8004043650139263,0.8000201811203878
2022-02-18,-0.0292868161118912,-0.02343893569420542,0.9231904150479243,0.8003237909049665,0.800082068578087
2022-02-21,0.0010164045050668,0.0008134484393332828,0.9239413828502524,0.800319592522685,0.8003069973758407
2022-02-22,-0.0336014401591053,-0.026891688264392328,0.8990950392080718,0.80031356206931,0.8002954707091853
2022-02-23,-0.0262999451169196,-0.02105200455101829,0.8801672863508655,0.8004581172100947,0.8008917826324491
2022-02-24,-0.0428499413048327,-0.034313438874714684,0.8499657199711416,0.8007814673679552,0.8017515178415369
2022-02-25,0.0085214199144018,0.006831175363377354,0.8557719848571238,0.801647546065907,0.8042457821597626
2022-02-28,-0.0070271643767988,-0.0056367982138078995,0.8509481708614544,0.8021440671600915,0.8036336304426447
2022-03-01,-0.0055208455048896,-0.0044312643259314215,0.8471773945886993,0.8026423347668074,0.8041371375869552
