portfolio,year,return,end_nav
available_equal_weight,2022,-0.34761570135932984,0.6523842986406702
available_equal_weight,2023,0.16939701609271052,0.7628962521761354
available_equal_weight,2024,0.36895869387601454,1.044373456941949
available_equal_weight,2025,2.8234171710734413,3.993075408285177
available_equal_weight,2026,5.05424356344782,24.17505108897231
fixed_10_slot_cash,2022,-0.28378489691468023,0.7162151030853198
fixed_10_slot_cash,2023,0.13812812470469793,0.8151445521596768
fixed_10_slot_cash,2024,0.29414299667046806,1.054913613451531
fixed_10_slot_cash,2025,2.3238875242553934,3.50641419891872
fixed_10_slot_cash,2026,4.985263348822476,20.986812390578937
SPY_buy_hold,2022,-0.18646259383200026,0.8135374061679997
SPY_buy_hold,2023,0.2617602833042283,1.0264891880851224
SPY_buy_hold,2024,0.24886245436869614,1.281943806814916
SPY_buy_hold,2025,0.1771907376619044,1.509092375585561
SPY_buy_hold,2026,0.09804572415921786,1.6570524303730017
QQQ_buy_hold,2022,-0.3321983650948971,0.6678016349051029
QQQ_buy_hold,2023,0.5485553080956149,1.034127766487227
QQQ_buy_hold,2024,0.25754812063411303,1.3004654292415652
QQQ_buy_hold,2025,0.2077251465061909,1.5706048010570057
QQQ_buy_hold,2026,0.20713259577859033,1.8959282504422597
