ticker,buy_count,total_buy_value,first_signal_date,last_signal_date,first_trade_date,last_trade_date,name,industry_labels,latest_adj_close
US.TTMI,4,551008.6204915558,2026-01-16,2026-05-01,2026-01-20,2026-05-04,TTM科技,电子元件,157.31
US.PL,4,528809.2357754293,2026-01-02,2026-05-01,2026-01-05,2026-05-04,Planet Labs PBC,航空航天与国防,39.04
US.LITE,4,502198.59558827453,2026-01-02,2026-04-02,2026-01-05,2026-04-06,Lumentum,通讯设备,903.8
US.WDC,4,498865.7404520178,2026-01-02,2026-04-02,2026-01-05,2026-04-06,西部数据,计算机硬件,480.0
US.STX,3,417364.5842794046,2026-01-30,2026-05-01,2026-02-02,2026-05-04,希捷科技,计算机硬件,782.64
US.TSEM,3,417364.58427940455,2026-01-30,2026-05-01,2026-02-02,2026-05-04,Tower半导体,半导体,211.02
US.MU,3,385372.3360948566,2026-01-02,2026-04-24,2026-01-05,2026-04-27,美光科技,半导体,746.81
US.CIEN,3,384786.46640027344,2026-01-02,2026-03-13,2026-01-05,2026-03-16,Ciena,通讯设备,548.11
US.SNDK,3,379038.4144368372,2026-02-20,2026-04-02,2026-02-23,2026-04-06,闪迪,计算机硬件,1562.34
US.IAG,3,366751.3442598119,2026-01-09,2026-02-13,2026-01-12,2026-02-17,Iamgold,黄金,18.7
US.AAOI,2,264802.5355310348,2026-02-27,2026-04-10,2026-03-02,2026-04-13,Applied Optoelectronics,通讯设备,148.94
US.LRCX,2,253813.63920758315,2026-01-30,2026-02-13,2026-02-02,2026-02-17,泛林集团,半导体设备与材料,294.05
US.ASTS,2,250316.84804590495,2026-01-09,2026-01-30,2026-01-12,2026-02-02,AST SpaceMobile,通讯设备,75.05
US.FTI,2,247075.43806981482,2026-03-06,2026-03-27,2026-03-09,2026-03-30,德希尼布FMC,油气设备与服务,70.15
US.TIGO,2,247075.43806981482,2026-03-06,2026-03-27,2026-03-09,2026-03-30,Millicom International Cellular,电信服务,80.43
US.VRT,2,247075.43806981482,2026-03-06,2026-03-27,2026-03-09,2026-03-30,Vertiv Holdings,电气设备及零件,339.97
US.TER,2,246230.6185919247,2026-02-06,2026-04-02,2026-02-09,2026-04-06,泰瑞达,半导体设备与材料,359.77
US.COHR,1,136663.96536344933,2026-04-10,2026-04-10,2026-04-13,2026-04-13,Coherent,科技仪器,335.26
US.ASX,1,132737.21423476352,2026-04-24,2026-04-24,2026-04-27,2026-04-27,日月光半导体,半导体,34.23
US.BE,1,131804.7166679619,2026-01-16,2026-01-16,2026-01-20,2026-01-20,Bloom Energy,电气设备及零件,261.03
US.CDE,1,131804.7166679619,2026-01-16,2026-01-16,2026-01-20,2026-01-20,科尔黛伦矿业,黄金,18.56
US.HII,1,129583.46878048156,2026-03-06,2026-03-06,2026-03-09,2026-03-09,亨廷顿英格尔斯工业,航空航天与国防,316.28
US.AGI,1,129583.46878048155,2026-03-06,2026-03-06,2026-03-09,2026-03-09,Alamos Gold,黄金,43.38
US.ATI,1,129583.46878048155,2026-03-06,2026-03-06,2026-03-09,2026-03-09,ATI Inc,金属加工,158.39
US.ESLT,1,129583.46878048153,2026-03-06,2026-03-06,2026-03-09,2026-03-09,埃尔比特系统,航空航天与国防,782.205
US.AU,1,128138.57016758548,2026-02-27,2026-02-27,2026-03-02,2026-03-02,AngloGold Ashanti,黄金,107.03
US.AA,1,127635.12186009312,2026-03-13,2026-03-13,2026-03-16,2026-03-16,美国铝业公司,铝,63.18
US.SATS,1,125000.00000000001,2026-01-02,2026-01-02,2026-01-05,2026-01-05,回声星通信,电信服务,127.15
US.EQX,1,125000.0,2026-01-02,2026-01-02,2026-01-05,2026-01-05,Equinox Gold,黄金,14.29
US.HL,1,125000.0,2026-01-02,2026-01-02,2026-01-05,2026-01-05,赫克拉矿业,其他贵金属和采矿,18.61
US.AEIS,1,118595.99603620492,2026-04-02,2026-04-02,2026-04-06,2026-04-06,先进能源工业,电气设备及零件,357.24
US.RKLB,1,118165.50350572463,2026-01-09,2026-01-09,2026-01-12,2026-01-12,Rocket Lab,航空航天与国防,105.47
US.APA,1,117491.96928933327,2026-03-27,2026-03-27,2026-03-30,2026-03-30,阿帕奇石油,油气勘探与开发,35.56
US.CRS,1,117491.96928933327,2026-03-27,2026-03-27,2026-03-30,2026-03-30,卡朋特科技,金属加工,427.85
US.E,1,117491.96928933325,2026-03-27,2026-03-27,2026-03-30,2026-03-30,埃尼石油,综合油气,53.43
