signal_date,ticker,er8,er15,er40,adv20,adj_close,market_cap_used,vol20_ann,up_day_ratio20,er_consistency_penalty,er20_vol_score,book,stage,rank,trade_date,spy_ma,spy_above_ma,allow_new_buys,market_filter_mode,selection_style,spy_vol_ann,high_vol_regime,target_count_cap
2025-12-31,HK.00358,0.21252305502992042,0.19899652670176127,0.3935789855978301,838516451.8959999,42.88,125073786108.6,0.5263345486339974,0.65,0.208108987224228,0.7477734201930892,long,top150,1,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.02050,0.13318002371423598,0.04688058531629946,0.019972797719034263,769918326.633035,38.32,125651296099.1,0.7433554771590598,0.55,0.11320722599520172,0.026868434191627776,long,top150,2,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.06869,0.10499865160559518,0.42790734546001197,0.4627001919066901,1720811437.1384997,51.7,127331805610.4,1.2519967689729108,0.5,0.3577015403010949,0.3695697971219776,long,top150,3,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.01093,0.11465933289572905,0.13073327443667715,0.1164067391387168,977382728.8184999,8.43,101397575241.6,0.4416549438109042,0.4,0.030400476838908452,0.2635694239812623,long,top150,4,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.02315,0.3639903095046888,0.11599409209075917,0.2274282124753827,64594779.563999996,35.3,23149338156.0,1.0996298166969645,0.5,0.35943033779855316,0.2068225224726307,long,top150,5,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.01880,0.1168680678172298,0.05586551827233999,0.19135372511226423,349330540.6069,78.85,144406866758.0,0.7517630131940897,0.4,0.19649075638481406,0.25453995707934707,long,top150,6,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.00981,0.09712359807276028,0.0003579550693499911,0.000960300128084457,3801874000.785,71.45,455282858690.4,0.4439893615614543,0.4,0.09736798806214475,0.0021628899501267397,long,top150,7,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.02600,0.10303793798892302,0.07090686257170375,0.22274704043859306,504285312.71849996,12.17,191449480009.32,0.47898862479116594,0.55,0.18397125328410857,0.46503618021348303,long,top150,8,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.01888,0.12292951651566475,0.08815543118206959,0.07791644305229661,139238594.286,13.19,64399575500.0,0.43334442766630177,0.65,0.045013073463368136,0.17980257291388643,long,top150,9,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.02039,0.1969948979440601,0.078711366925859,0.32422250088258175,44493899.43350001,9.35,54167065503.6,0.6842868027953874,0.5,0.36379466497492385,0.4738108342263754,long,top150,10,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.03899,0.14890541831423798,0.15907876072608862,0.27349352034549257,33298423.6375,9.45,24389626476.6,0.37574171395227535,0.6,0.12458810203125459,0.7278763847344089,long,top150,11,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.06166,0.10146859981112666,0.08615746237126443,0.13993834952003492,199335296.0525,93.5,26695633236.1,0.6361930946326929,0.45,0.06909202458863273,0.21996206922181158,long,top150,12,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.00175,0.07456656899399183,0.01767604579396198,0.027493571097139458,742296143.821,17.9,210544892517.44,0.3010295788672655,0.5,0.06670804850320733,0.09133179271151404,long,top150,13,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.03968,0.06406918778985182,0.024963711387703036,0.08355053052494854,1005150403.0856701,51.6814,1231737259152.84,0.26508188178375913,0.55,0.09769229553939429,0.3151876316960244,long,top150,14,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.02610,0.10211551381982442,0.07031616009013719,0.08526142368832101,64394626.614,48.44,35675024000.0,0.4371184136054025,0.55,0.04674461732787105,0.1950533792092515,long,top150,15,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.02899,0.0568568043175941,0.0559102733501764,0.14438972419816898,1822981551.916,35.66,909900668050.8,0.409635549857932,0.7,0.08942598181541028,0.35248338248046485,long,top150,16,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
2025-12-31,HK.01385,0.0701332551679279,0.08428022592755391,0.09207947880356804,231391667.866,45.32,34628905030.0,0.5047421655136536,0.55,0.02194622363564014,0.18242874301944412,long,top150,17,2026-01-02,24722.896750000004,True,True,configured_price_above_ma,dual_objective_composite,0.1482738256062851,False,10
