trade_date,signal_date,book,ticker,side,shares,trade_price,trade_value,reason
2026-01-02,2025-12-31,long,HK.00005,BUY,422.5158357268406,118.33875980999998,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.00358,BUY,1162.2095928779797,43.021499999999996,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.00631,BUY,5838.202394130038,8.56428,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.00670,BUY,9341.123830608061,5.352675,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.00753,BUY,7068.60148426494,7.073535,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.01208,BUY,5704.910102026613,8.76438,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.02888,BUY,270.62003674991087,184.76089428,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.03393,BUY,2895.4236670772375,17.26863,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.03993,BUY,2582.687984173288,19.359675,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.06869,BUY,966.4413441248428,51.72585,49990.0,replacement_buy
2026-01-05,2026-01-02,long,HK.00631,SELL,5838.202394130038,8.645675,50475.20048387022,replacement_sell
2026-01-05,2026-01-02,long,HK.00670,SELL,9341.123830608061,5.317340000000001,49669.931389445475,replacement_sell
2026-01-05,2026-01-02,long,HK.00753,SELL,7068.60148426494,7.106445000000001,50232.627674847165,replacement_sell
2026-01-05,2026-01-02,long,HK.02888,SELL,270.62003674991087,188.77412572,51086.06083977869,replacement_sell
2026-01-05,2026-01-02,long,HK.02600,BUY,3929.7256209510692,12.816405,50364.95509698539,replacement_buy
2026-01-05,2026-01-02,long,HK.02656,BUY,858.3083581310008,58.679325,50364.95509698539,replacement_buy
2026-01-05,2026-01-02,long,HK.02899,BUY,1360.5347352536,37.018499999999996,50364.95509698539,replacement_buy
2026-01-05,2026-01-02,long,HK.03899,BUY,5270.763057945937,9.554775,50360.95509698539,replacement_buy
2026-01-06,2026-01-05,long,HK.02656,SELL,858.3083581310008,60.019975,51515.64619731371,replacement_sell
2026-01-06,2026-01-05,long,HK.02899,SELL,1360.5347352536,37.181400000000004,50586.58620535821,replacement_sell
2026-01-06,2026-01-05,long,HK.03393,SELL,2895.4236670772375,17.5912,50933.976812289104,replacement_sell
2026-01-06,2026-01-05,long,HK.06869,SELL,966.4413441248428,51.27435,49553.65173312763,replacement_sell
2026-01-06,2026-01-05,long,HK.00631,BUY,5758.948197917216,8.794394999999998,50646.46523702217,replacement_buy
2026-01-06,2026-01-05,long,HK.01336,BUY,853.6451038733949,59.329649999999994,50646.46523702216,replacement_buy
2026-01-06,2026-01-05,long,HK.02318,BUY,732.0485127938151,69.184575,50646.46523702216,replacement_buy
2026-01-06,2026-01-05,long,HK.02888,BUY,268.2861238708389,188.76289428,50642.465237022145,replacement_buy
2026-01-07,2026-01-06,long,HK.02600,SELL,3929.7256209510692,13.373310000000002,52553.43894392115,replacement_sell
2026-01-07,2026-01-06,long,HK.02601,BUY,1357.2396991148134,38.71935,52551.43894392115,replacement_buy
2026-01-08,2026-01-07,long,HK.00631,SELL,5758.948197917216,8.705645,50135.358584457026,replacement_sell
2026-01-08,2026-01-07,long,HK.02888,SELL,268.2861238708389,185.57572572000004,49787.39213793675,replacement_sell
2026-01-08,2026-01-07,long,HK.01093,BUY,5463.392522687987,9.14457,49960.375361196886,replacement_buy
2026-01-08,2026-01-07,long,HK.02628,BUY,1585.1875764085223,31.515749999999997,49958.375361196886,replacement_buy
2026-01-09,2026-01-08,long,HK.00005,SELL,422.5158357268406,121.81868019000001,51470.321467618574,replacement_sell
2026-01-09,2026-01-08,long,HK.02628,SELL,1585.1875764085223,31.084450000000004,49274.6839594919,replacement_sell
2026-01-09,2026-01-08,long,HK.01364,BUY,1871.610763895199,26.913449999999997,50371.50271355524,replacement_buy
2026-01-09,2026-01-08,long,HK.02600,BUY,3765.469749310479,13.376684999999998,50369.50271355524,replacement_buy
2026-01-12,2026-01-09,long,HK.01364,SELL,1871.610763895199,26.68665,49947.02139230381,replacement_sell
2026-01-12,2026-01-09,long,HK.00631,BUY,5546.673484624777,9.0045,49945.02139230381,replacement_buy
2026-01-13,2026-01-12,long,HK.02318,SELL,732.0485127938151,69.1654,50632.428206789344,replacement_sell
2026-01-13,2026-01-12,long,HK.02601,SELL,1357.2396991148134,38.48075,52227.60155171236,replacement_sell
2026-01-13,2026-01-12,long,HK.02208,BUY,2988.564722246485,17.208599999999997,51429.014879250855,replacement_buy
2026-01-13,2026-01-12,long,HK.02899,BUY,1285.0328555534948,40.019999999999996,51427.014879250855,replacement_buy
2026-01-14,2026-01-13,long,HK.00631,SELL,5546.673484624777,9.155420000000001,50782.125354603384,replacement_sell
2026-01-14,2026-01-13,long,HK.02208,SELL,2988.564722246485,15.782105,47165.84224578986,replacement_sell
2026-01-14,2026-01-13,long,HK.02600,SELL,3765.469749310479,13.743125000000001,51749.321448492585,replacement_sell
2026-01-14,2026-01-13,long,HK.02318,BUY,712.4737109963392,70.035,49898.09634962861,replacement_buy
2026-01-14,2026-01-13,long,HK.02400,BUY,593.0221137900564,84.14204999999998,49898.096349628606,replacement_buy
2026-01-14,2026-01-13,long,HK.02525,BUY,238.84176852966533,208.9044,49895.09634962862,replacement_buy
2026-01-15,2026-01-14,long,HK.01336,SELL,853.6451038733949,61.1694,52216.958816873244,replacement_sell
2026-01-15,2026-01-14,long,HK.02318,SELL,712.4737109963392,68.9655,49136.10571571803,replacement_sell
2026-01-15,2026-01-14,long,HK.02400,SELL,593.0221137900564,84.10792500000001,49877.859469995536,replacement_sell
2026-01-15,2026-01-14,long,HK.00631,BUY,5360.012334350088,9.4047,50409.30800086227,replacement_buy
2026-01-15,2026-01-14,long,HK.03393,BUY,2557.56933720258,19.70985,50409.308000862264,replacement_buy
2026-01-15,2026-01-14,long,HK.09626,BUY,195.27564900054728,258.12899999999996,50406.308000862264,replacement_buy
2026-01-16,2026-01-15,long,HK.01093,SELL,5463.392522687987,9.895050000000001,54060.54218162378,replacement_sell
2026-01-16,2026-01-15,long,HK.01347,BUY,531.0887497217599,101.0505,53666.783703758694,replacement_buy
2026-01-19,2026-01-16,long,HK.01208,SELL,5704.910102026613,9.45527,53941.46534038917,replacement_sell
2026-01-19,2026-01-16,long,HK.03393,SELL,2557.56933720258,20.9895,53682.10160321355,replacement_sell
2026-01-19,2026-01-16,long,HK.03899,SELL,5270.763057945937,10.604695,55894.83464678399,replacement_sell
2026-01-19,2026-01-16,long,HK.01336,BUY,874.3001726851435,61.73085,53971.292815000685,replacement_buy
2026-01-19,2026-01-16,long,HK.02099,BUY,285.9996145341132,188.71106838,53971.292815000685,replacement_buy
2026-01-19,2026-01-16,long,HK.03330,BUY,2365.9789760821645,22.8114,53971.292815000685,replacement_buy
2026-01-20,2026-01-19,long,HK.01336,SELL,874.3001726851435,60.41977500000001,52825.01971609752,replacement_sell
