date,book,ticker,shares,weight,gross_market_value,net_market_value
2026-01-02,long,HK.00005,422.5158357268406,0.10006135315997722,51031.30208307023,51031.30208307023
2026-01-02,long,HK.00358,1162.2095928779797,0.09953981001534602,50765.31501691016,50765.31501691016
2026-01-02,long,HK.00631,5838.202394130038,0.0991349428872967,50558.83273316613,50558.83273316613
2026-01-02,long,HK.00670,9341.123830608061,0.09744071984488102,49694.77877883489,49694.77877883489
2026-01-02,long,HK.00753,7068.60148426494,0.09854459757472288,50257.75655312373,50257.75655312373
2026-01-02,long,HK.01208,5704.910102026613,0.10201719200980691,52028.7801304827,52028.7801304827
2026-01-02,long,HK.02888,270.62003674991087,0.09979433074346648,50895.120618702815,50895.120618702815
2026-01-02,long,HK.03393,2895.4236670772375,0.10207785357119592,52059.71753404873,52059.71753404873
2026-01-02,long,HK.03993,2582.687984173288,0.10209211283625232,52066.98976093349,52066.98976093349
2026-01-02,long,HK.06869,966.4413441248428,0.09929708735705442,50641.526432141756,50641.526432141756
2026-01-05,long,HK.00005,422.5158357268406,0.1009855922476884,51284.81158450634,51284.81158450634
2026-01-05,long,HK.00358,1162.2095928779797,0.0971706478255707,49347.41931359902,49347.41931359902
2026-01-05,long,HK.01208,5704.910102026613,0.10166419751848325,51629.43642334085,51629.43642334085
2026-01-05,long,HK.02600,3929.7256209510692,0.10098186623072777,51282.91935341145,51282.91935341145
2026-01-05,long,HK.02656,858.3083581310008,0.10123736120736468,51412.670652046945,51412.670652046945
2026-01-05,long,HK.02899,1360.5347352536,0.09810669070920598,49822.78200498683,49822.78200498683
2026-01-05,long,HK.03393,2895.4236670772375,0.10023090305054597,50901.54806721783,50901.54806721783
2026-01-05,long,HK.03899,5270.763057945937,0.0999471542146833,50757.448248019384,50757.448248019384
2026-01-05,long,HK.03993,2582.687984173288,0.10252578950978726,52066.98976093349,52066.98976093349
2026-01-05,long,HK.06869,966.4413441248428,0.09714979748594267,49336.83061757322,49336.83061757322
2026-01-06,long,HK.00005,422.5158357268406,0.10066113975226565,52932.623343841005,52932.623343841005
2026-01-06,long,HK.00358,1162.2095928779797,0.09901497794204721,52066.98976093349,52066.98976093349
2026-01-06,long,HK.00631,5758.948197917216,0.09714159212116143,51081.870515525705,51081.870515525705
