date,portfolio_value,daily_return,benchmark_return,excess_return,cash,long_market_value,short_market_value,gross_exposure,net_exposure,borrow_cost,spy_short_hedge_target,stock_short_gross_target,spy_short_market_value,spy_short_weight,cumulative_return,strategy_nav,benchmark_nav,drawdown,rolling_63_return,rolling_63_excess_return,daily_turnover
2026-01-05,501893.62232887256,0.003787244657745159,0.028527849443724884,-0.024740604785979725,-1.4551915228366852e-11,501893.62232887256,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.003787244657745159,1.0037872446577452,1.0285278494437249,0.0,,,0.49960031974420477
2026-01-06,529486.9606267932,0.05497845971798321,0.007509398927860067,0.04746906079012314,-2.842170943040401e-14,529486.9606267932,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.05897392125358647,1.0589739212535865,1.0362514753736118,0.0,,,0.0030605730697462145
2026-01-07,522868.7197311843,-0.012499346325307803,0.0031335603737592255,-0.01563290669906703,0.0,522868.7197311843,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.045737439462368634,1.0457374394623686,1.0394986319340922,-0.012499346325307803,,,0.20399426475246862
2026-01-08,551930.9879597444,0.05558234243483051,-0.008224753239983729,0.06380709567481424,-1.1368683772161603e-13,551930.9879597444,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.10386197591948876,1.1038619759194888,1.0309490121931337,0.0,,,0.0053386776965480345
2026-01-09,584224.3613466297,0.058509803021316475,0.007723692048348996,0.05078611097296748,-1.4551915228366852e-11,584224.3613466297,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.1684487226932594,1.1684487226932594,1.0389117448808631,0.0,,,0.20403941559195765
2026-01-12,640759.2263822253,0.09676909895589336,0.018188523650985555,0.07858057530490781,0.0,640759.2263822253,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.28151845276445053,1.2815184527644505,1.0578080157239154,0.0,,,0.007014613497509038
2026-01-13,599439.4928442189,-0.06448558496972534,-0.019611988841617967,-0.044873596128107374,0.0,599439.4928442189,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.19887898568843765,1.1988789856884376,1.037062296722964,-0.06448558496972534,,,0.005041870443639812
2026-01-14,603221.4078917,0.006309085558471983,0.008202863876892064,-0.0018937783184200807,0.0,603221.4078917,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.20644281578340018,1.2064428157834002,1.0455691775748395,-0.058583344484115396,,,0.20257532005844825
2026-01-15,555233.7431490683,-0.07955232376508636,0.005607115097331361,-0.08515943886241772,0.0,555233.7431490683,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.11046748629813674,1.1104674862981367,1.0514318042957236,-0.1334752270615598,,,0.0019775106092385377
2026-01-16,557291.544680909,0.0037061896133503414,-0.00204871462672207,0.0057549042400724115,0.0,557291.544680909,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.11458308936181805,1.114583089361818,1.049277720579262,-0.13026372194838465,,,0.20640317007684156
2026-01-19,557627.9982169739,0.0006037298417249648,-0.00696473778306439,0.0075684676247893545,0.0,557627.9982169739,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.11525599643394768,1.1152559964339477,1.041969776393816,-0.12973863620289416,,,0.1977641767614763
2026-01-20,533606.8652064889,-0.04307734383369022,-0.017865818338588024,-0.025211525495102194,-2.9103830456733704e-11,533606.8652064889,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.06721373041297785,1.0672137304129778,1.023354133654465,-0.16722718419635818,,,0.2005480285688471
2026-01-21,530390.5154283487,-0.006027564463391144,0.005351956190079221,-0.011379520653470365,0.0,530390.5154283487,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.06078103085669739,1.0607810308566974,1.02883108014472,-0.17224677602697447,,,0.20032791383455012
2026-01-22,548338.5891072948,0.033839356392810105,0.010051364842711186,0.02378799155009892,-1.4551915228366852e-11,548338.5891072948,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.09667717821458965,1.0966771782145897,1.0391722366927751,-0.14423613967565363,,,0.20313369594363992
2026-01-23,574327.6539403867,0.04739601652949976,0.00626569875791283,0.04113031777158693,-1.4551915228366852e-11,574327.6539403867,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.14865530788077352,1.1486553078807735,1.0456833768854785,-0.1036763416063724,,,0.8122443069666089
2026-01-26,537921.762270301,-0.06338871447388905,-0.009062388173721514,-0.05432632630016754,-2.2737367544323206e-13,537921.762270301,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.07584352454060195,1.075843524540602,1.0362069882173344,-0.16049314606447784,,,0.601961502692226
2026-01-27,522885.1912895777,-0.027953081721887263,0.007065124435966075,-0.03501820615785334,0.0,522885.1912895777,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.04577038257915533,1.0457703825791553,1.0435279195305074,-0.18395994975862195,,,0.9741387835721951
2026-01-28,557278.9645525864,0.06577691209457348,-0.005695328524440657,0.07147224061901414,0.0,557278.9645525864,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.11455792910517282,1.1145579291051728,1.037584685204355,-0.13028335510824351,,,0.20719093267805722
2026-01-29,563293.7970005433,0.010793216379135995,-0.005732283788666637,0.01652550016780263,-1.4551915228366852e-11,563293.7970005433,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.12658759400108677,1.1265875940010868,1.0316369553339895,-0.12089631517139054,,,0.2073613069685333
2026-01-30,512104.9853146436,-0.09087409085360543,0.012662965523212444,-0.10353705637681787,-1.4551915228366852e-11,512104.9853146436,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.024209970629287092,1.024209970629287,1.0447005385318557,-0.20078406329624499,,,0.20294019173230443
2026-02-02,467474.7134158086,-0.08715062961438191,-0.024577277391234498,-0.06257335222314742,0.0,467474.7134158086,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0650505731683827,0.9349494268316173,1.0190246436055863,-0.27043623537782513,,,0.37959926980559955
2026-02-03,491212.2286298844,0.05077818015145086,0.01862111976648828,0.03215706038496258,0.0,491212.2286298844,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.017575542740231098,0.9824244572597689,1.0380000235391689,-0.2333903151058696,,,0.2241616241564654
2026-02-04,485681.29107211164,-0.011259771714560052,-0.0040234385937854,-0.007236333120774652,-9.094947017729282e-13,485681.29107211164,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.02863741785577678,0.9713625821442232,1.0338236941841112,-0.2420221651519484,,,0.809883521902257
2026-02-05,469691.9960754628,-0.032921373111477026,-0.015472224372966692,-0.017449148738510334,-1.4551915228366852e-11,469691.9960754628,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.060616007849074394,0.9393839921509256,1.0178281420256055,-0.26697583626321064,,,0.1972557971840303
2026-02-06,460039.39072189457,-0.020550925785879026,-0.007304284422590457,-0.01324664136328857,0.0,460039.39072189457,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.07992121855621082,0.9200787814437892,1.0103936357829337,-0.2820401614514214,,,0.7876074746427284
2026-02-09,479778.6224084436,0.04290769895937441,0.02975629918117728,0.013151399778197126,-2.9103830456733704e-11,479778.6224084436,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0404427551831128,0.9595572448168872,1.0404592111000481,-0.25123415683405803,,,0.6203280130716858
2026-02-10,480135.91001925117,0.0007446926438989809,-0.003670370843228188,0.004415063487127169,0.0,480135.91001925117,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.03972817996149769,0.9602718200385023,1.0366403399480584,-0.2506765564186495,,,0.20346400969344128
2026-02-11,474619.10048036615,-0.011490099831657719,-0.01078193075397138,-0.0007081690776863381,-1.4551915228366852e-11,474619.10048036615,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0507617990392677,0.9492382009607323,1.0254633555859651,-0.2592863575916008,,,0.2030087237678348
2026-02-12,488305.04977266764,0.02883564795106186,0.01319046966099413,0.01564517829006773,-1.4551915228366852e-11,488305.04977266764,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.023389900454664714,0.9766100995453353,1.038989698866283,-0.2379273997665634,,,0.6054462768593128
