date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-08-21,long,SH.513120,76102.16210074708,0.20309871080736688,101215.87559399362,101215.87559399362,港股创新药ETF广发,医药医疗与生物科技,101215.87559399362
2026-08-21,long,SZ.159892,123142.05421932392,0.2023712555267581,100853.34240562629,100853.34240562629,恒生医药ETF华夏,医药医疗与生物科技,100853.34240562629
2026-08-21,long,SH.513780,58594.67577005686,0.20187706442657066,100607.05829718764,100607.05829718764,港股创新药ETF景顺,医药医疗与生物科技,100607.05829718764
2026-08-21,long,SH.516080,138006.93867926975,0.1974462920934772,98398.94727831932,98398.94727831932,创新药ETF易方达,医药医疗与生物科技,98398.94727831932
2026-08-21,long,SZ.159859,236722.49011102977,0.19712701585182785,98239.83339607735,98239.83339607735,生物医药ETF天弘,医药医疗与生物科技,98239.83339607735
2026-08-21,spy_hedge,创业板指,14.388727092061458,-0.1023688650751908,51016.347031253536,-51016.347031253536,创业板指 动态对冲,Hedge,-51016.347031253536
