date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-08-17,long,US.MEME,20700.363878432767,0.20289931481345597,187545.29673860088,187545.29673860088,MEME,,187545.29673860088
2026-08-17,long,US.NASA,6947.167574352814,0.20127635103201108,186045.14764116835,186045.14764116835,NASA,,186045.14764116835
2026-08-17,long,US.BOAT,3884.880829547009,0.2002695902171875,185114.57152791496,185114.57152791496,BOAT,,185114.57152791496
2026-08-17,long,US.EWY,995.7613969043189,0.1994050292570697,184315.43456698942,184315.43456698942,EWY,,184315.43456698942
2026-08-17,long,US.BWET,478.0784192136024,0.1961497146802758,181306.4597025666,181306.4597025666,BWET,,181306.4597025666
