signal_date,ticker,er3,er8,er20,adv20,adj_close,market_cap_used,vol20_ann,up_day_ratio20,er_consistency_penalty,er20_vol_score,book,stage,rank,trade_date,spy_ma,spy_above_ma,allow_new_buys,market_filter_mode,selection_style,spy_vol_ann,high_vol_regime,target_count_cap,name,industry_labels,spy_adj_close,spy_ma100,action,planned_holding
2026-05-08,US.DRAM,0.12149921303455069,0.3779775984524063,0.5425247229985894,691135479.494,52.8,1000000000000.0,0.7012301612735714,0.7,0.42102550996403876,0.7736756816239311,long,top10,1,,670.5565807697,True,True,configured_price_above_ma,waterfall,0.10445799335096345,False,10,Roundhill Memory ETF,,737.62,684.68724793874,keep,True
2026-05-08,US.FTXL,0.055440508590035575,0.16635305382687493,0.3008275378176819,62572977.4915,241.64,1000000000000.0,0.3963737249284795,0.75,0.24538702922764632,0.7589492413301672,long,top10,2,,670.5565807697,True,True,configured_price_above_ma,waterfall,0.10445799335096345,False,10,First Trust Exchange-Traded Fund VI First Trust Nasdaq Semiconductor ETF,,737.62,684.68724793874,keep,True
2026-05-08,US.EWY,0.07730727568140217,0.19567028093338568,0.2854110474884961,2481220678.8539996,190.2,1000000000000.0,0.5082668962563088,0.65,0.20810377180709394,0.5615377463901742,long,top10,3,,670.5565807697,True,True,configured_price_above_ma,waterfall,0.10445799335096345,False,10,韩国ETF-iShares MSCI,,737.62,684.68724793874,keep,True
2026-05-08,US.SOXX,0.058692272185505434,0.14954266651539005,0.26023810271779513,3033833004.686,520.3,1000000000000.0,0.3934607952317625,0.8,0.2015458305322897,0.6614079620423315,long,top10,4,,670.5565807697,True,True,configured_price_above_ma,waterfall,0.10445799335096345,False,10,半导体ETF-iShares,,737.62,684.68724793874,keep,True
2026-05-08,US.SMH,0.06475702511036596,0.11692159583368222,0.21118891671533402,4199999822.3965006,566.54,1000000000000.0,0.3403973342317534,0.75,0.14643189160496806,0.6204188325739057,long,top10,5,,670.5565807697,True,True,configured_price_above_ma,waterfall,0.10445799335096345,False,10,半导体指数ETF-VanEck,,737.62,684.68724793874,keep,True
2026-05-08,US.EWT,0.016867104874459526,0.0652391416266409,0.16355779969951367,430775114.51199996,96.11,1000000000000.0,0.2638454827591399,0.7,0.14669069482505415,0.619899942910233,long,top10,6,,670.5565807697,True,True,configured_price_above_ma,waterfall,0.10445799335096345,False,10,安硕MSCI台湾ETF,,737.62,684.68724793874,keep,True
2026-05-08,US.XLK,0.040575491596082314,0.07550731420064771,0.1450855475102948,1673257861.692,175.52,1000000000000.0,0.21674855687070285,0.85,0.10451005591421247,0.6693726113103616,long,top10,7,,670.5565807697,True,True,configured_price_above_ma,waterfall,0.10445799335096345,False,10,科技行业精选指数ETF-SPDR,,737.62,684.68724793874,keep,True
2026-05-08,US.IYW,0.040638489357425644,0.07192099192827883,0.14279608684189538,235998726.412,238.64,1000000000000.0,0.20410274211223223,0.85,0.10215759748446973,0.6996284585112262,long,top10,8,,670.5565807697,True,True,configured_price_above_ma,waterfall,0.10445799335096345,False,10,美国科技ETF-iShares,,737.62,684.68724793874,keep,True
2026-05-08,US.IGV,0.013491253305148776,0.03591853855735283,0.1351070466782225,2141362358.9145,91.15,1000000000000.0,0.37463744846182745,0.7,0.12161579337307371,0.3606341203553996,long,top10,9,,670.5565807697,True,True,configured_price_above_ma,waterfall,0.10445799335096345,False,10,扩展科技软件行业ETF-iShares,,737.62,684.68724793874,buy,True
2026-05-08,US.VGT,0.033574507029987766,0.058724845457243324,0.1246060365074999,458552300.52700007,112.44,1000000000000.0,0.1998456407985351,0.8,0.09103152947751214,0.6235114061512884,long,top10,10,,670.5565807697,True,True,configured_price_above_ma,waterfall,0.10445799335096345,False,10,资讯科技ETF-Vanguard,,737.62,684.68724793874,keep,True
