signal_date,ticker,er8,er15,er40,adv20,adj_close,market_cap_used,vol20_ann,up_day_ratio20,er_consistency_penalty,er20_vol_score,book,stage,rank,trade_date,spy_ma,spy_above_ma,allow_new_buys,market_filter_mode,selection_style,spy_vol_ann,high_vol_regime,target_count_cap,name,industry_labels,spy_adj_close,spy_ma100,action,planned_holding,weight,market_value
2026-08-17,HK.01548,0.4087830482950824,0.5407739695410698,1.1481597942848871,902386421.7914999,26.08,24270355572.0,0.8432152300066503,0.8,0.7393767459898047,1.361644991013542,long,top10,1,,25708.654499999997,False,True,configured_price_above_ma,dual_objective_liquidity,0.1529583483154634,False,10,金斯瑞生物科技,,25453.23,25174.909499999998,keep,True,0.132256153861814,104032.72988159084
2026-08-17,HK.03759,0.2619313476148105,0.2730671750804108,0.9387438100045717,230934649.284,30.48,33818775661.44,0.5829788942784959,0.55,0.6768124623897612,1.6102535086906984,long,top10,2,,25708.654499999997,False,True,configured_price_above_ma,dual_objective_liquidity,0.1529583483154634,False,10,康龙化成,,25453.23,25174.909499999998,keep,True,0.10413642322789893,81913.7414189616
2026-08-17,HK.02359,0.1262965814467628,0.2857802935260134,0.5165352695305914,1300290055.0449998,203.4,319262015585.0,0.497135331504756,0.6,0.39023868808382856,1.0390234545734551,long,top10,3,,25708.654499999997,False,True,configured_price_above_ma,dual_objective_liquidity,0.1529583483154634,False,10,药明康德,,25453.23,25174.909499999998,keep,True,0.10447482057870268,82179.92487554083
2026-08-17,HK.02315,0.1533220857282377,0.1676880604591522,0.4920512044993841,133119667.795,63.7,23149338156.0,0.8641334600884558,0.5,0.3387291187711464,0.5694157525725436,long,top10,4,,25708.654499999997,False,True,configured_price_above_ma,dual_objective_liquidity,0.1529583483154634,False,10,百奥赛图-B,,25453.23,25174.909499999998,keep,True,0.10022273372627827,78835.232095396
2026-08-17,HK.02099,0.09379908205035681,0.28871127768103544,0.44054046787207257,657130724.105,221.0,58153897565.1,0.9133472690366904,0.75,0.34674138582171576,0.48233621844264307,long,top10,5,,25708.654499999997,False,True,configured_price_above_ma,dual_objective_liquidity,0.1529583483154634,False,10,中国黄金国际,,25453.23,25174.909499999998,keep,True,0.08710330262175828,68515.4836947075
2026-08-17,HK.02269,0.15423573170227123,0.18423785759097977,0.4338444366775258,1379486435.1959999,46.16,139931644601.52,0.45875440879217044,0.65,0.2796087049752546,0.9457008551040877,long,top10,6,,25708.654499999997,False,True,configured_price_above_ma,dual_objective_liquidity,0.1529583483154634,False,10,药明生物,,25453.23,25174.909499999998,keep,True,0.10459287251194159,82272.7845612646
2026-08-17,HK.03330,0.041040809581415316,0.15374100195676932,0.42665622965155103,606720291.1545,22.06,33187194965.82,0.9562570076826102,0.7,0.3856154200701357,0.4461731796198892,long,top10,7,,25708.654499999997,False,True,configured_price_above_ma,dual_objective_liquidity,0.1529583483154634,False,10,灵宝黄金,,25453.23,25174.909499999998,keep,True,0.08705226816124981,68475.3399729244
2026-08-17,HK.01997,0.2513599499882845,0.257372848638421,0.42196043796945837,200280539.976,32.54,73719599499.56,0.556485116757247,0.6,0.1706004879811739,0.7582600599065586,long,top10,8,,25708.654499999997,False,True,configured_price_above_ma,dual_objective_liquidity,0.1529583483154634,False,10,九龙仓置业,,25453.23,25174.909499999998,keep,True,0.09933355844762844,78135.80655730107
2026-08-17,HK.02268,0.21618919835658323,0.1852710909641797,0.32690798033156754,326121186.53499997,64.95,66610713729.75,0.5671251689113889,0.45,0.17255499675979136,0.5764300338831297,long,top10,9,,25708.654499999997,False,True,configured_price_above_ma,dual_objective_liquidity,0.1529583483154634,False,10,药明合联,,25453.23,25174.909499999998,keep,True,0.09015712359017054,70917.62017484067
2026-08-17,HK.00992,0.27431851252643724,0.34796915541002305,0.32467750576366017,3523666766.3935,33.02,114619051950.48,0.9512216839382983,0.55,0.09694229252994868,0.34132685497602744,long,top10,10,,25708.654499999997,False,True,configured_price_above_ma,dual_objective_liquidity,0.1529583483154634,False,10,联想集团,,25453.23,25174.909499999998,buy,True,,
