signal_date,ticker,er8,er15,er40,adv20,adj_close,market_cap_used,vol20_ann,up_day_ratio20,er_consistency_penalty,er20_vol_score,book,stage,rank,trade_date,spy_ma,spy_above_ma,allow_new_buys,market_filter_mode,selection_style,spy_vol_ann,high_vol_regime,target_count_cap,name,industry_labels,spy_adj_close,spy_ma100,action,planned_holding,weight,market_value
2026-08-20,HK.01548,0.39000916337064373,0.9457373951986122,1.6548205225055532,1186826943.116,33.36,24270355572.0,0.9287794202204381,0.8,1.2648113591349095,1.781715320643943,long,top10,1,,25702.42855,False,True,configured_price_above_ma,dual_objective_liquidity,0.14399585002647255,False,10,金斯瑞生物科技,,25698.49,25194.321599999996,keep,True,0.1557578626752171,133072.54098350732
2026-08-20,HK.03759,0.24228073960675833,0.5057596416814022,0.9821978548333801,267671636.02700004,33.86,33818775661.44,0.6554747596664661,0.55,0.7399171152266217,1.4984525953877534,long,top10,2,,25702.42855,False,True,configured_price_above_ma,dual_objective_liquidity,0.14399585002647255,False,10,康龙化成,,25698.49,25194.321599999996,keep,True,0.10650997515192814,90997.35185190418
2026-08-20,HK.02099,0.17430880100653012,0.4152156318427703,0.8185593944532596,650543271.265,247.0,58153897565.1,0.8468701573798572,0.7,0.6442505934467295,0.9665701256799643,long,top10,3,,25702.42855,False,True,configured_price_above_ma,dual_objective_liquidity,0.14399585002647255,False,10,中国黄金国际,,25698.49,25194.321599999996,keep,True,0.08963031795417965,76576.12883526132
2026-08-20,HK.03939,0.059291502986354105,0.36512574178675494,0.5665699392054651,503365076.25450003,13.63,52085884576.0,0.8558557686367815,0.55,0.507278436219111,0.6619923122185707,long,top10,4,,25702.42855,False,True,configured_price_above_ma,dual_objective_liquidity,0.14399585002647255,False,10,万国黄金集团,,25698.49,25194.321599999996,keep,True,0.08222995589250724,70253.59097533865
2026-08-20,HK.06693,0.04791099906209628,0.25696891245867526,0.5595345519913608,273764881.16999996,40.8,79969302370.24,0.5371100615487141,0.7,0.5116235529292645,1.041750270657726,long,top10,5,,25702.42855,False,True,configured_price_above_ma,dual_objective_liquidity,0.14399585002647255,False,10,赤峰黄金,,25698.49,25194.321599999996,keep,True,0.08370436755523979,71513.26225642613
2026-08-20,HK.02269,0.08553709798406217,0.3194300247051952,0.4325548927366576,1650612719.7669997,49.64,139931644601.52,0.4983134803580304,0.6,0.3470177947525954,0.8680377107716887,long,top10,6,,25702.42855,False,True,configured_price_above_ma,dual_objective_liquidity,0.14399585002647255,False,10,药明生物,,25698.49,25194.321599999996,keep,True,0.10355801053583377,88475.3255117239
2026-08-20,HK.01997,0.006784327726537587,0.25202952209983687,0.41570933028033985,205953843.83,32.84,73719599499.56,0.5609005167983765,0.6,0.40892500255380226,0.741146277869757,long,top10,7,,25702.42855,False,True,configured_price_above_ma,dual_objective_liquidity,0.14399585002647255,False,10,九龙仓置业,,25698.49,25194.321599999996,keep,True,0.09229904952769181,78856.17355076114
2026-08-20,HK.02259,0.03907557249499982,0.26085564176532994,0.3853452749808006,1318705368.8700001,148.3,471303350730.0,0.7539966663054387,0.6,0.3462697024858008,0.5110702635715633,long,top10,8,,25702.42855,False,True,configured_price_above_ma,dual_objective_liquidity,0.14399585002647255,False,10,紫金黄金国际,,25698.49,25194.321599999996,buy,True,,
2026-08-20,HK.00322,0.208189696225904,0.15796625224880578,0.37713519094718695,287839255.21,14.04,70287359009.2,0.43695705798390133,0.55,0.2693923826754794,0.8630944026565687,long,top10,9,,25702.42855,False,True,configured_price_above_ma,dual_objective_liquidity,0.14399585002647255,False,10,康师傅控股,,25698.49,25194.321599999996,keep,True,0.09278040502384904,79267.42212524619
2026-08-20,HK.01308,0.16577509756679132,0.1844303595789477,0.37048407624263024,168229388.857,46.54,94067582477.44,0.28310315703419026,0.7,0.20470897867583893,1.3086539907355643,long,top10,10,,25702.42855,False,True,configured_price_above_ma,dual_objective_liquidity,0.14399585002647255,False,10,海丰国际,,25698.49,25194.321599999996,keep,True,0.09582733939735726,81870.58637216572
