date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-06-01,long,HK.00992,5522.825241289739,0.15916894097640846,139396.109090153,139396.109090153,联想集团,,
2026-06-01,long,HK.01888,2296.5090706500214,0.12440004016102538,108946.390311637,108946.390311637,建滔积层板,,
2026-06-01,long,HK.01347,637.8281851994552,0.11092036370269563,97141.23260587704,97141.23260587704,华虹半导体,,
2026-06-01,long,HK.06651,962.1827110124553,0.10827341945000368,94823.10617027748,94823.10617027748,五一视界,,
2026-06-01,long,HK.03986,124.30328727797227,0.10056112972381617,88068.87903644335,88068.87903644335,兆易创新,,
2026-06-01,long,HK.03200,453.65872346631863,0.09339694445377546,81794.66784097726,81794.66784097726,大族数控,,
2026-06-01,long,HK.00148,1199.5449143834885,0.08341448667947948,73052.28528595445,73052.28528595445,建滔集团,,
2026-06-01,long,HK.00522,361.65380000503296,0.0766853866337472,67159.11066093462,67159.11066093462,ASMPT,,
2026-06-01,long,HK.02631,639.8825688295102,0.07394153586679719,64756.115965546436,64756.115965546436,天岳先进,,
2026-06-01,long,HK.06166,455.91475212377725,0.06923775235225138,60636.66203246237,60636.66203246237,剑桥科技,,
