date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-04-21,long,HK.09696,774.0037458570018,0.1061068961348674,45434.01988180601,45434.01988180601,天齐锂业,,
2026-04-21,long,HK.03317,137.5389188616134,0.10580632932390019,45305.319873015455,45305.319873015455,迅策,,
2026-04-21,long,HK.02252,1278.4192734016171,0.10521354557173797,45051.49519467299,45051.49519467299,微创机器人-B,,
2026-04-21,long,HK.01729,2040.5799919006554,0.10427096397885006,44647.89022278634,44647.89022278634,汇聚科技,,
2026-04-21,long,HK.06082,914.8032077557857,0.10207896807848525,43709.29726657144,43709.29726657144,壁仞科技,,
2026-04-21,long,HK.02477,8452.266257574584,0.09988174776440162,42768.46726332739,42768.46726332739,经纬天地,,
2026-04-21,long,HK.02616,4307.316385812478,0.09868206468649723,42254.77374482041,42254.77374482041,基石药业-B,,
2026-04-21,long,HK.06166,326.84083367046355,0.09594758193699854,41083.89279237727,41083.89279237727,剑桥科技,,
2026-04-21,long,HK.09678,110.97786438870858,0.09356340360317998,40063.0090443238,40063.0090443238,云知声,,
2026-04-21,long,HK.01384,548.8819246534714,0.08844849892108181,37872.852801089524,37872.852801089524,滴普科技,,
