signal_date,ticker,er3,er8,er20,adv20,adj_close,market_cap_used,vol20_ann,up_day_ratio20,er_consistency_penalty,er20_vol_score,book,stage,rank,trade_date,spy_ma,spy_above_ma,allow_new_buys,market_filter_mode,selection_style,spy_vol_ann,high_vol_regime,target_count_cap,name,industry_labels,spy_adj_close,spy_ma100,action,planned_holding
2026-04-21,HK.06166,0.37702830328451764,0.5329465475376065,0.6109052186881554,584167218.1725,125.7,26695633236.1,1.5950331761357748,0.5,0.23387691540363775,0.3830047097629479,long,top10,1,,25850.230050000002,True,True,configured_price_above_ma,waterfall,0.24920941970889507,False,10,剑桥科技,,26487.48,26087.6816,keep,True
2026-04-21,HK.09696,0.03265528534581774,0.15923409174607706,0.4280655361672112,429735911.49700004,58.7,69034672012.18,0.5590423740724475,0.7,0.39541025082139347,0.765712146377901,long,top10,2,,25850.230050000002,True,True,configured_price_above_ma,waterfall,0.24920941970889507,False,10,天齐锂业,,26487.48,26087.6816,keep,True
2026-04-21,HK.01888,0.13921910085683065,0.3611484502029103,0.4251084432850807,641177313.157,30.74,64399575500.0,0.8235680507790134,0.65,0.28588934242825004,0.5161788912075577,long,top10,3,,25850.230050000002,True,True,configured_price_above_ma,waterfall,0.24920941970889507,False,10,建滔积层板,,26487.48,26087.6816,buy,True
2026-04-21,HK.02252,0.0126158070135991,0.2604097779873833,0.39966626641433267,220389035.02000004,35.24,24793181157.24,0.6607647845443909,0.55,0.38705045940073357,0.604854065717061,long,top10,4,,25850.230050000002,True,True,configured_price_above_ma,waterfall,0.24920941970889507,False,10,微创机器人-B,,26487.48,26087.6816,keep,True
2026-04-21,HK.01651,0.042122254017334715,0.19613452754686755,0.3682687954353916,53220153.78,47.64,12600139500.0,0.6562929337536293,0.55,0.3261465414180569,0.5611347867622155,long,top10,5,,25850.230050000002,True,True,configured_price_above_ma,waterfall,0.24920941970889507,False,10,津上机床中国,,26487.48,26087.6816,buy,True
2026-04-21,HK.00522,0.11167901486229459,0.31415758688258877,0.3415412307523511,355414575.515,148.1,43956450611.6,0.614195265166217,0.6,0.2298622158900565,0.5560792310242268,long,top10,6,,25850.230050000002,True,True,configured_price_above_ma,waterfall,0.24920941970889507,False,10,ASMPT,,26487.48,26087.6816,buy,True
2026-04-21,HK.01729,0.10656456925643143,0.11700560252768799,0.33653462029265313,336489684.929,21.88,32992155281.08,1.1147023335244681,0.5,0.2299700510362217,0.30190536986551136,long,top10,7,,25850.230050000002,True,True,configured_price_above_ma,waterfall,0.24920941970889507,False,10,汇聚科技,,26487.48,26087.6816,keep,True
2026-04-21,HK.09688,0.06089548426413116,0.14867876321156848,0.3083372470016894,237391857.636,19.33,16041980586.6,0.5472781601811065,0.65,0.24744176273755825,0.5634013367163304,long,top10,8,,25850.230050000002,True,True,configured_price_above_ma,waterfall,0.24920941970889507,False,10,再鼎医药,,26487.48,26087.6816,buy,True
2026-04-21,HK.00470,0.10823287737115383,0.16013510959081168,0.3017244513904507,97709664.33,56.7,71020473230.28,0.6264629106314029,0.7,0.19349157401929684,0.4816317874051745,long,top10,9,,25850.230050000002,True,True,configured_price_above_ma,waterfall,0.24920941970889507,False,10,先导智能,,26487.48,26087.6816,buy,True
2026-04-21,HK.00800,0.004816965551880603,0.048760125952985955,0.2877174673706149,85891731.836,21.74,16570711344.32,0.6746137862192855,0.7,0.2829005018187343,0.4264921251951577,long,top10,10,,25850.230050000002,True,True,configured_price_above_ma,waterfall,0.24920941970889507,False,10,文远知行-W,,26487.48,26087.6816,buy,True
