signal_date,ticker,er3,er8,er20,adv20,adj_close,market_cap_used,vol20_ann,up_day_ratio20,er_consistency_penalty,er20_vol_score,ema_spread_filter_ok,ema_spread_score,ema_spread_pass_pairs,ema_spread_required_pairs,ema_spread_latest_ts,ema_spread_timeframe,book,stage,rank,trade_date,spy_ma,spy_above_ma,allow_new_buys,market_filter_mode,selection_style,spy_vol_ann,high_vol_regime,target_count_cap,name,industry_labels,spy_adj_close,spy_ma100,action,planned_holding,weight,market_value
2026-07-27,US.PLTR,0.0670039754324887,0.004154782424411807,0.15084901342542145,4829452302.132501,131.53,332869236155.74,0.5047174003026982,0.6,0.20954342400908654,0.2988781709030669,,,,,,,long,top10,1,,697.3490549461,True,True,configured_price_above_ma,waterfall,0.11315367946676501,False,10,Palantir,软件基础设施,739.09,716.09318162814,buy,True,,
2026-07-27,US.RTX,0.13192405749343172,0.1358399611425234,0.14801552686264885,947554083.368,218.42,236181339602.64,0.33690613302907607,0.65,0.016091469369217126,0.4393375850177077,,,,,,,long,top10,2,,697.3490549461,True,True,configured_price_above_ma,waterfall,0.11315367946676501,False,10,雷神技术,航空航天与国防,739.09,716.09318162814,keep,True,0.10020944906145904,115596.08949199082
2026-07-27,US.CME,0.035686421187435924,0.06234694868171875,0.14162032773416944,752034302.156,255.36,104344997562.12,0.31071839779275573,0.7,0.10593390654673351,0.45578352855896215,,,,,,,long,top10,3,,697.3490549461,True,True,configured_price_above_ma,waterfall,0.11315367946676501,False,10,芝加哥商品交易所,金融数据与证券交易所,739.09,716.09318162814,keep,True,0.09962767136976468,114924.9828574029
2026-07-27,US.LMT,0.13874667513320804,0.1482221490383946,0.12922759537668016,612070721.6885,580.0,118030122207.36,0.4476545638379022,0.4,0.02847002756690098,0.28867704211203815,,,,,,,long,top10,4,,697.3490549461,True,True,configured_price_above_ma,waterfall,0.11315367946676501,False,10,洛克希德马丁,航空航天与国防,739.09,716.09318162814,keep,True,0.09866825707324624,113818.25547870807
2026-07-27,US.XOM,0.013203642981638675,0.09182497995548444,0.11965920318677403,2141649869.8075001,154.77,644516102889.9,0.25110889438316625,0.65,0.10645556020513536,0.47652315733661926,,,,,,,long,top10,5,,697.3490549461,True,True,configured_price_above_ma,waterfall,0.11315367946676501,False,10,埃克森美孚,综合油气,739.09,716.09318162814,keep,True,0.10446616038358024,120506.39672890327
2026-07-27,US.UNP,0.03416978436045648,0.058765120893536915,0.10147966588831547,864962264.265,299.3,158328471076.775,0.260430303731436,0.65,0.067309881527859,0.38966151186831366,,,,,,,long,top10,6,,697.3490549461,True,True,configured_price_above_ma,waterfall,0.11315367946676501,False,10,联合太平洋,铁路运输,739.09,716.09318162814,keep,True,0.0947745010828431,109326.63347956342
2026-07-27,US.TTE,0.002298893188291906,0.06837435447644413,0.08240677511740313,150338338.5435,84.16,198472073510.2,0.3221530001052238,0.6,0.08010788192911122,0.2558001169956104,,,,,,,long,top10,7,,697.3490549461,True,True,configured_price_above_ma,waterfall,0.11315367946676501,False,10,道达尔,综合油气,739.09,716.09318162814,buy,True,,
2026-07-27,US.SPGI,0.036233159484977406,0.010364770075160346,0.0637373353489632,868037850.0065,439.83,127155680000.0,0.3562178809829378,0.55,0.07924095468361991,0.1789279504248584,,,,,,,long,top10,8,,697.3490549461,True,True,configured_price_above_ma,waterfall,0.11315367946676501,False,10,标普全球,金融数据与证券交易所,739.09,716.09318162814,buy,True,,
2026-07-27,US.T,0.07102760839655176,0.16035046487333315,0.060969158273969315,1997824537.2595,24.42,182220185947.875,0.3683813045452119,0.6,0.18870416307614524,0.1655055713243626,,,,,,,long,top10,9,,697.3490549461,True,True,configured_price_above_ma,waterfall,0.11315367946676501,False,10,AT&T,电信服务,739.09,716.09318162814,buy,True,,
2026-07-27,US.MSFT,0.007955057329960158,0.0043211125142558204,0.029392660787292968,12635552966.501999,389.1,2991070376217.656,0.2644446104776191,0.6,0.028705493088741485,0.11114864747746703,,,,,,,long,top10,10,,697.3490549461,True,True,configured_price_above_ma,waterfall,0.11315367946676501,False,10,微软,软件基础设施,739.09,716.09318162814,buy,True,,
