date,position,ticker,name,shares,weight,gross_market_value,unrealized_pnl_pct
2026-07-29,多头,US.UNP,联合太平洋,1174.4028634903766,0.11108924549347712,343148.77268325316,0.032650818609647914
2026-07-29,多头,US.CVX,雪佛龙,1711.283847796559,0.10629089367259432,328326.91903824784,0.02938492641059387
2026-07-29,多头,US.HWM,Howmet Aerospace,1160.9434377495302,0.10252483381600512,316693.7603836944,-0.007087861750115443
2026-07-29,多头,US.XOM,埃克森美孚,1991.2575042338485,0.10104726011641192,312129.6137886558,0.023529523537702435
2026-07-29,多头,US.COP,康菲石油,2614.8857598027703,0.099941316513411,308713.4128023151,0.006662681285189542
2026-07-29,多头,US.RTX,雷神技术,1429.516410615058,0.09961434247562387,307703.40738489124,0.0033692229531163687
2026-07-29,多头,US.GD,通用动力,787.7586963867404,0.09715432784012326,300104.5529754926,-0.02140936727729692
2026-07-29,多头,US.LMT,洛克希德马丁,526.7699676292032,0.09706786231783578,299837.46557454247,-0.022280294512810883
2026-07-29,多头,US.GE,GE航天航空,851.7671004392839,0.0966850887666242,298655.0984270261,-0.026135795549121377
2026-07-29,多头,US.ASML,阿斯麦,176.45939979208802,0.0885848289878933,273633.826663593,-0.10772596778654253
