year,start,end,rule,mode,strategy_return,benchmark_return,excess_return,cagr,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,win_rate,monthly_win_rate,turnover_annualized,final_nav,note
2022,2022-01-03,2022-12-31,strategy_with_embedded_hedge,mode_b,0.21601302038479764,-0.18175224376771626,0.3977652641525139,0.21696089869313218,0.2229609455999157,0.2308441279807928,0.9658506263519382,1.479650629241405,-0.14113434024956073,0.5099601593625498,0.5833333333333334,14.001069700302796,1.2160130203847976,
2023,2023-01-01,2023-12-31,strategy_with_embedded_hedge,mode_b,0.10525197423524713,0.2617602833042272,-0.15650830906898006,0.1061371785818328,0.12340217287185867,0.21227437957015233,0.5813333343465351,0.8698684714251919,-0.14542483514624582,0.544,0.5833333333333334,17.334934640667836,1.1052519742352471,
2024,2024-01-01,2024-12-31,strategy_with_embedded_hedge,mode_b,0.0677186957463729,0.2488624543686917,-0.1811437586223188,0.0677186957463729,0.10345699621610449,0.2755953801737685,0.3753945227633088,0.5113912468401903,-0.2409528723674459,0.5277777777777778,0.5833333333333334,19.1610347412631,1.067718695746373,
2025,2025-01-01,2025-12-31,strategy_with_embedded_hedge,mode_b,0.6523020568559628,0.17719073766190463,0.47511131919405813,0.6589532937056868,0.568903794253662,0.34927733797159094,1.6288024798789973,1.819628168895834,-0.3221687582716455,0.58,0.5833333333333334,15.025984893061219,1.6523020568559628,
2026,2026-01-01,2026-06-09,strategy_with_embedded_hedge,mode_b,1.5639994329187008,0.08379703911877123,1.4802023937999296,7.818368230520269,2.340957720427966,0.5626194316074633,4.16081917707606,6.764563282512712,-0.1453559645782796,0.6146788990825688,0.6666666666666666,12.291596872965213,2.563999432918701,
