signal_date,ticker,er3,er8,er20,adv20,adj_close,market_cap_used,vol20_ann,up_day_ratio20,er_consistency_penalty,er20_vol_score,book,stage,rank,trade_date,spy_ma,spy_above_ma,allow_new_buys,market_filter_mode,selection_style,spy_vol_ann,high_vol_regime,target_count_cap,name,industry_labels,spy_adj_close,spy_ma100,action,planned_holding,weight,market_value
2026-07-30,US.PBR,0.058704382716884496,0.051666011031604175,0.2012048619343323,277051580.689,19.12,133720602385.0,0.3148002324991683,0.75,0.15657722258800844,0.639150931805185,long,top50,12,,698.3790116410299,True,True,configured_price_above_ma,waterfall,0.12425290297867188,False,5,巴西石油公司,综合油气,741.69,717.6802317683,keep,True,0.2001252920256238,300857.8682110176
2026-07-30,US.XOM,0.010696801574974879,0.058573528828158916,0.157277302645644,2134578802.9095001,156.97,657152043511.5,0.2626127513959836,0.7,0.1465805010706691,0.5988943865429125,long,top50,8,,698.3790116410299,True,True,configured_price_above_ma,waterfall,0.12425290297867188,False,5,埃克森美孚,综合油气,741.69,717.6802317683,keep,True,0.2011071073362912,302333.8778565476
2026-07-30,US.BP,0.04162515269508771,0.05339616103553102,0.22869403436834834,337057414.88699996,44.22,119936919748.58,0.3139207612317257,0.65,0.18706888167326063,0.7285087914256622,long,top50,11,,698.3790116410299,True,True,configured_price_above_ma,waterfall,0.12425290297867188,False,5,英国石油,综合油气,741.69,717.6802317683,keep,True,0.2010493119781859,302246.99134632165
2026-07-30,US.CVX,0.008640055231504462,0.014244147059311651,0.1661189960963565,1387611248.441,192.31,390412164996.0,0.23804815232197482,0.7,0.15747894086485204,0.6978377881785459,long,top50,16,,698.3790116410299,True,True,configured_price_above_ma,waterfall,0.12425290297867188,False,5,雪佛龙,综合油气,741.69,717.6802317683,keep,True,0.19718548511177486,296438.3166785738
2026-07-30,US.DELL,,,,,,,,,,,,held_buffer,,,,,True,,,,,5,戴尔科技,计算机硬件,741.69,717.6802317683,keep,True,,
