signal_date,ticker,er3,er8,er20,adv20,adj_close,market_cap_used,vol20_ann,up_day_ratio20,er_consistency_penalty,er20_vol_score,book,stage,rank,trade_date,spy_ma,spy_above_ma,allow_new_buys,market_filter_mode,selection_style,spy_vol_ann,high_vol_regime,target_count_cap,name,industry_labels,spy_adj_close,spy_ma100,action,planned_holding,weight,market_value
2026-08-18,US.AEM,0.049890828149269706,0.11471248235750753,0.29439254550059135,493687242.0835,186.94,109180633671.59,0.4960190366738814,0.75,0.24450171735132165,0.5935105786960878,long,top50,1,,704.9437980402099,True,True,configured_price_above_ma,waterfall,0.13653591000512905,False,5,伊格尔矿业,黄金,767.45,731.47352179687,watch,False,,
2026-08-18,US.COP,0.0551685975560251,0.11244117614650395,0.07838124766130328,795261627.0990001,129.72,155330631545.04,0.32290620057231895,0.7,0.09133250707567953,0.2427368923928384,long,top50,2,,704.9437980402099,True,True,configured_price_above_ma,waterfall,0.13653591000512905,False,5,康菲石油,油气勘探与开发,767.45,731.47352179687,watch,False,,
2026-08-18,US.NEM,0.029083866113197687,0.10151065415849014,0.22835465019130652,758441540.3355,115.98,128544440463.9,0.48773788449094807,0.6,0.19927078407810883,0.4681913327885945,long,top50,3,,704.9437980402099,True,True,configured_price_above_ma,waterfall,0.13653591000512905,False,5,纽曼矿业,黄金,767.45,731.47352179687,watch,False,,
2026-08-18,US.SPOT,0.049615687999254976,0.08818937064095522,0.021114009253258237,1010224578.5660002,516.28,100242052522.6,0.47554432687849774,0.5,0.10564904402939723,0.04439966594040117,long,top50,4,,704.9437980402099,True,True,configured_price_above_ma,waterfall,0.13653591000512905,False,5,Spotify Technology,互联网内容与信息,767.45,731.47352179687,watch,False,,
2026-08-18,US.CVX,0.0450723753566592,0.07928603923882516,0.04184343429447446,1542081749.2955,203.96,390412164996.0,0.27402836074927994,0.65,0.07165626882651666,0.15269745868661666,long,top50,5,,704.9437980402099,True,True,configured_price_above_ma,waterfall,0.13653591000512905,False,5,雪佛龙,综合油气,767.45,731.47352179687,watch,False,,
2026-08-18,US.XOM,0.05722640812942259,0.07067701578788832,0.06567384538063603,2240721545.6660004,165.56,657152043511.5,0.25342713262909483,0.55,0.01845377806571802,0.25914291299169406,long,top50,6,,704.9437980402099,True,True,configured_price_above_ma,waterfall,0.13653591000512905,False,5,埃克森美孚,综合油气,767.45,731.47352179687,watch,False,,
2026-08-18,US.T,0.026426952176416774,0.05163405273033661,0.09297963041062918,1414369751.6609998,24.9,191136233829.0,0.3163065261735724,0.65,0.0665526782342124,0.29395419543005835,long,top50,7,,704.9437980402099,True,True,configured_price_above_ma,waterfall,0.13653591000512905,False,5,AT&T,电信服务,767.45,731.47352179687,watch,False,,
2026-08-18,US.LMT,0.028725707381995425,0.0431702609383281,0.1717426627947114,716808710.6685001,607.17,146161379856.78,0.4333255262979349,0.7,0.14301695541271597,0.396336362323204,long,top50,8,,704.9437980402099,True,True,configured_price_above_ma,waterfall,0.13653591000512905,False,5,洛克希德马丁,航空航天与国防,767.45,731.47352179687,watch,False,,
2026-08-18,US.CMCSA,0.014172179714876276,0.04236599161508947,0.07475924010145452,735210196.0452499,26.2,100307946312.72,0.4349508586084845,0.6,0.06058706038657824,0.17187973910576437,long,top50,9,,704.9437980402099,True,True,configured_price_above_ma,waterfall,0.13653591000512905,False,5,康卡斯特,电信服务,767.45,731.47352179687,watch,False,,
2026-08-18,US.TTE,0.039140575511396825,0.036450634727447695,0.043338508525663455,124171639.36050001,89.29,196920448447.8,0.23627932660146503,0.6,0.00957781458216489,0.18342065363493693,long,top50,10,,704.9437980402099,True,True,configured_price_above_ma,waterfall,0.13653591000512905,False,5,道达尔,综合油气,767.45,731.47352179687,watch,False,,
