date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-06-23,long,US.AMAT,212.74397954939013,0.11580147065921398,124642.44273839668,124642.44273839668,应用材料,半导体设备与材料,124642.44273839668
2026-06-23,long,US.DELL,268.97586451619554,0.10690103534040703,115062.49532273812,115062.49532273812,戴尔科技,计算机硬件,115062.49532273812
2026-06-23,long,US.WDC,165.62966802934147,0.10321597894143755,111096.09983068079,111096.09983068079,西部数据,计算机硬件,111096.09983068079
2026-06-23,long,US.KLAC,444.07470228826395,0.1008707516539451,108571.82396245765,108571.82396245765,科磊,半导体设备与材料,108571.82396245765
2026-06-23,long,US.LRCX,288.5782334813664,0.09955698395913859,107157.75543863578,107157.75543863578,泛林集团,半导体设备与材料,107157.75543863578
2026-06-23,long,US.MRVL,377.6212032086508,0.0978973549963216,105371.42054334193,105371.42054334193,迈威尔科技,半导体,105371.42054334193
2026-06-23,long,US.STX,99.57906516822015,0.09608604212874254,103421.82129306176,103421.82129306176,希捷科技,计算机硬件,103421.82129306176
2026-06-23,long,US.SNDK,51.43239444855407,0.09382917334277568,100992.64973918076,100992.64973918076,闪迪,计算机硬件,100992.64973918076
2026-06-23,long,US.MU,94.92034585065193,0.09275305316498153,99834.37215534017,99834.37215534017,美光科技,半导体,99834.37215534017
2026-06-23,long,US.ARM,260.9347311194856,0.08882262906524849,95603.87613486833,95603.87613486833,Arm Holdings,半导体,95603.87613486833
