date,portfolio_value,daily_return,benchmark_return,excess_return,cash,long_market_value,short_market_value,gross_exposure,net_exposure,borrow_cost,spy_short_hedge_target,stock_short_gross_target,spy_short_market_value,spy_short_weight,cumulative_return,strategy_nav,benchmark_nav,drawdown,rolling_63_return,rolling_63_excess_return,daily_turnover
2026-01-02,523440.7625685844,0.04688152513716881,0.001833059595331532,0.04504846554183728,-1.4551915228366852e-11,523440.7625685844,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.04688152513716881,1.0468815251371688,1.0018330595953315,0.0,,,0.49960031974420466
2026-01-05,531049.7028511635,0.01453639232306081,0.0066601285187537496,0.00787626380430706,-1.4551915228366852e-11,531049.7028511635,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.06209940570232697,1.062099405702327,1.0085053965265727,0.0,,,0.0
2026-01-06,569145.1863275276,0.07173619205854465,0.0059471878101220454,0.0657890042484226,-1.4551915228366852e-11,569145.1863275276,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.13829037265505528,1.1382903726550553,1.0145031675272378,0.0,,,0.0
2026-01-07,562109.3813665779,-0.012362056519091391,-0.0032234283982461864,-0.009138628120845205,-2.9103830456733704e-11,562109.3813665779,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.12421876273315591,1.124218762733156,1.0112329892069198,-0.012362056519091391,,,0.3772927824820592
2026-01-08,542706.1934149037,-0.03451852716726056,-0.00010151106573852431,-0.034417016101522035,-2.9103830456733704e-11,542706.1934149037,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.08541238682980734,1.0854123868298073,1.0111303378684755,-0.046453863702554554,,,0.0
2026-01-09,581389.072161729,0.07127775436543038,0.0066133921200393075,0.06466436224539107,-2.9103830456733704e-11,581389.072161729,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.16277814432345794,1.162778144323458,1.0178173392772676,0.0,,,0.0
2026-01-12,597116.3766463757,0.027051255755752734,0.0015704467845747416,0.025480808971177993,-2.9103830456733704e-11,597116.3766463757,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.19423275329275147,1.1942327532927515,1.01941576724502,0.0,,,0.0
2026-01-13,594020.6066730814,-0.005184533692881299,-0.00199953967384503,-0.003184994019036269,-2.9103830456733704e-11,594020.6066730814,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.18804121334616286,1.1880412133461629,1.0173774049742703,-0.005184533692881299,,,0.0
2026-01-14,591318.0310895476,-0.0045496327116834046,-0.004915173617672908,0.0003655409059895032,236.17303442960838,591081.858055118,0.0,0.99960059896365,0.99960059896365,0.0,0.0,0.0,0.0,-0.0,0.182636062179095,1.182636062179095,1.0123768183941242,-0.009710578680480753,,,0.39899675467431606
2026-01-15,604898.3374355803,0.022966163100100356,0.00272321687328958,0.020242946226810776,236.17303442960838,604662.1644011508,0.0,0.9996095657405328,0.9996095657405328,0.0,0.0,0.0,0.0,-0.0,0.2097966748711606,1.2097966748711606,1.0151337400281022,0.0,,,0.0
