date,book,ticker,shares,weight,gross_market_value,net_market_value
2026-01-02,long,HK.00358,1162.2095928779797,0.09978723870132046,50765.31501691016,50765.31501691016
2026-01-02,long,HK.00670,9341.123830608061,0.0976829307680072,49694.77877883489,49694.77877883489
2026-01-02,long,HK.01072,1983.1354164187749,0.10080656369110695,51283.88186858952,51283.88186858952
2026-01-02,long,HK.01208,5704.910102026613,0.10227077878842239,52028.7801304827,52028.7801304827
2026-01-02,long,HK.02039,5344.921122326538,0.09812871150228282,49921.56328252987,49921.56328252987
2026-01-02,long,HK.02315,1427.8574998215179,0.09750403775301315,49603.769543799535,49603.769543799535
2026-01-02,long,HK.03393,2895.4236670772375,0.10233159113782699,52059.71753404873,52059.71753404873
2026-01-02,long,HK.03858,1070.1287471895744,0.10256699867063387,52179.47771296364,52179.47771296364
2026-01-02,long,HK.03899,5288.361110450067,0.09937723628636068,50556.732215902644,50556.732215902644
2026-01-02,long,HK.06869,966.4413441248428,0.0995439127010254,50641.526432141756,50641.526432141756
2026-01-05,long,HK.00358,1162.2095928779797,0.09730838071123254,49347.41931359902,49347.41931359902
2026-01-05,long,HK.01072,1983.1354164187749,0.09956267807146517,50490.62770202201,50490.62770202201
2026-01-05,long,HK.01208,5704.910102026613,0.10180829970989656,51629.43642334085,51629.43642334085
2026-01-05,long,HK.02039,5344.921122326538,0.09907291791073623,50242.25854986946,50242.25854986946
2026-01-05,long,HK.02600,3915.612815507167,0.1007618315139973,51098.74724236853,51098.74724236853
2026-01-05,long,HK.02656,855.2259192949158,0.1010167697791482,51228.032565765454,51228.032565765454
2026-01-05,long,HK.03393,2895.4236670772375,0.10037297364304036,50901.54806721783,50901.54806721783
2026-01-05,long,HK.03858,1070.1287471895744,0.10390582023918057,52693.139511614645,52693.139511614645
2026-01-05,long,HK.03993,2487.8969080306147,0.09890282760365862,50156.001665897194,50156.001665897194
2026-01-05,long,HK.06869,966.4413441248428,0.09728750081764447,49336.83061757322,49336.83061757322
2026-01-06,long,HK.00358,1162.2095928779797,0.1008229592329838,52066.98976093349,52066.98976093349
2026-01-06,long,HK.01208,5704.910102026613,0.10483637316078488,54139.596868232555,54139.596868232555
2026-01-06,long,HK.01385,965.2174709983257,0.09494800783670856,49033.04752671494,49033.04752671494
2026-01-06,long,HK.02039,5344.921122326538,0.09459854716803692,48852.57905806456,48852.57905806456
2026-01-06,long,HK.02600,3915.612815507167,0.10061613590121535,51960.182061780106,51960.182061780106
2026-01-06,long,HK.02656,855.2259192949158,0.0979563454001311,50586.613126294265,50586.613126294265
2026-01-06,long,HK.03393,2895.4236670772375,0.09839798639656516,50814.68535720552,50814.68535720552
2026-01-06,long,HK.03858,1070.1287471895744,0.10775473044363326,55646.694853857865,55646.694853857865
2026-01-06,long,HK.03899,5187.835677397276,0.10005585796713166,51670.84334687688,51670.84334687688
2026-01-06,long,HK.03993,2487.8969080306147,0.10001305649280928,51648.73981071557,51648.73981071557
2026-01-07,long,HK.00358,1162.2095928779797,0.09854533986092628,51602.1059237823,51602.1059237823
2026-01-07,long,HK.00670,9160.999647850082,0.09674681209298674,50660.32805261095,50660.32805261095
2026-01-07,long,HK.01208,5704.910102026613,0.10186595985819401,53340.90945394883,53340.90945394883
2026-01-07,long,HK.01336,826.6693693712133,0.09914256608199475,51914.83639651219,51914.83639651219
2026-01-07,long,HK.02315,1388.7954262176256,0.095001951121772,49746.65216711535,49746.65216711535
2026-01-07,long,HK.02318,708.6005634623906,0.09621432996675842,50381.50006217597,50381.50006217597
2026-01-07,long,HK.02656,855.2259192949158,0.10232237114129424,53579.903843826476,53579.903843826476
2026-01-07,long,HK.03858,1070.1287471895744,0.11056100088666049,57893.96522295597,57893.96522295597
2026-01-07,long,HK.03899,5187.835677397276,0.09887475458180146,51774.60006042482,51774.60006042482
2026-01-07,long,HK.03993,2487.8969080306147,0.10072491440761162,52743.41445024903,52743.41445024903
2026-01-08,long,HK.00358,1162.2095928779797,0.09712057785861518,50672.338249479915,50672.338249479915
2026-01-08,long,HK.00670,9160.999647850082,0.0970975586473373,50660.32805261095,50660.32805261095
2026-01-08,long,HK.01208,5704.910102026613,0.09961104468956926,51971.73102946244,51971.73102946244
2026-01-08,long,HK.01336,826.6693693712133,0.09720457947055226,50716.165810923936,50716.165810923936
2026-01-08,long,HK.02315,1388.7954262176256,0.09305720713872023,48552.28810056819,48552.28810056819
2026-01-08,long,HK.02610,862.1034535277563,0.09748812310435641,50864.10375813762,50864.10375813762
2026-01-08,long,HK.02656,855.2259192949158,0.10703710356218542,55846.252529958,55846.252529958
2026-01-08,long,HK.03393,2712.64558707402,0.09706835876401096,50645.09311067196,50645.09311067196
2026-01-08,long,HK.03858,1070.1287471895744,0.11239756481250653,58643.05534598867,58643.05534598867
