trade_date,signal_date,book,ticker,side,shares,trade_price,trade_value,reason
2026-01-02,2025-12-31,long,HK.00358,BUY,1162.2095928779797,43.021499999999996,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.00670,BUY,9341.123830608061,5.352675,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.01072,BUY,1983.1354164187749,25.2126,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.01208,BUY,5704.910102026613,8.76438,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.02039,BUY,5344.921122326538,9.354674999999999,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.02315,BUY,1427.8574998215179,35.0175,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.03393,BUY,2895.4236670772375,17.26863,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.03858,BUY,1070.1287471895744,46.72335,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.03899,BUY,5288.361110450067,9.454724999999998,50000.0,replacement_buy
2026-01-02,2025-12-31,long,HK.06869,BUY,966.4413441248428,51.72585,49990.0,replacement_buy
2026-01-05,2026-01-02,long,HK.00670,SELL,9341.123830608061,5.317340000000001,49669.931389445475,replacement_sell
2026-01-05,2026-01-02,long,HK.02315,SELL,1427.8574998215179,35.30234,50406.710930249166,replacement_sell
2026-01-05,2026-01-02,long,HK.03899,SELL,5288.361110450067,9.545225000000002,50478.59668049575,replacement_sell
2026-01-05,2026-01-02,long,HK.02600,BUY,3915.612815507167,12.816405,50184.07966673013,replacement_buy
2026-01-05,2026-01-02,long,HK.02656,BUY,855.2259192949158,58.679325,50184.07966673013,replacement_buy
2026-01-05,2026-01-02,long,HK.03993,BUY,2487.8969080306147,20.17008,50181.07966673014,replacement_buy
2026-01-06,2026-01-05,long,HK.01072,SELL,1983.1354164187749,25.267360000000004,50108.5964954031,replacement_sell
2026-01-06,2026-01-05,long,HK.06869,SELL,966.4413441248428,51.27435,49553.65173312763,replacement_sell
2026-01-06,2026-01-05,long,HK.01385,BUY,965.2174709983257,51.6258,49830.12411426536,replacement_buy
2026-01-06,2026-01-05,long,HK.03899,BUY,5187.835677397276,9.6048,49828.12411426535,replacement_buy
2026-01-07,2026-01-06,long,HK.01385,SELL,965.2174709983257,52.47375,50648.580268798396,replacement_sell
2026-01-07,2026-01-06,long,HK.02039,SELL,5344.921122326538,9.135430000000001,48828.15276853553,replacement_sell
2026-01-07,2026-01-06,long,HK.02600,SELL,3915.612815507167,13.373310000000002,52364.704021750156,replacement_sell
2026-01-07,2026-01-06,long,HK.03393,SELL,2895.4236670772375,17.201395,49805.32618974406,replacement_sell
2026-01-07,2026-01-06,long,HK.00670,BUY,9160.999647850082,5.50275,50410.69081220704,replacement_buy
2026-01-07,2026-01-06,long,HK.01336,BUY,826.6693693712133,60.980475,50410.69081220704,replacement_buy
2026-01-07,2026-01-06,long,HK.02315,BUY,1388.7954262176256,36.29814,50410.69081220704,replacement_buy
2026-01-07,2026-01-06,long,HK.02318,BUY,708.6005634623906,71.13555,50406.69081220705,replacement_buy
2026-01-08,2026-01-07,long,HK.02318,SELL,708.6005634623906,70.714625,50108.42312003165,replacement_sell
