date,portfolio_value,daily_return,benchmark_return,excess_return,cash,long_market_value,short_market_value,gross_exposure,net_exposure,borrow_cost,spy_short_hedge_target,stock_short_gross_target,spy_short_market_value,spy_short_weight,cumulative_return,strategy_nav,benchmark_nav,drawdown,rolling_63_return,rolling_63_excess_return,daily_turnover
2021-07-16,495408.8368640602,-0.009182326271879648,-0.007843588270892154,-0.0013387380009874938,99680.0,395728.8368640602,0.0,0.7987924465962805,0.7987924465962805,0.0,0.0,0.0,0.0,-0.0,-0.009182326271879648,0.9908176737281204,0.9921564117291078,0.0,,,0.4
2021-07-19,487789.0527525743,-0.015380799744548646,-0.014767932489577085,-0.0006128672549715608,96041.51516660443,391747.5375859699,0.0,0.8031085063827367,0.8031085063827367,0.0,0.0,0.0,0.0,-0.0,-0.024421894494851326,0.9755781055051487,0.9775043128215913,-0.015380799744548534,,,0.4912013581133873
2021-07-20,494154.99629124004,0.013050607640214373,0.014330423324731667,-0.0012798156845172937,96041.51516660443,398113.4811246356,0.0,0.8056449577816259,0.8056449577816259,0.0,0.0,0.0,0.0,-0.0,-0.01169000741751991,0.9883099925824801,0.9915123634260756,-0.0025309208869929156,,,0.0
2021-07-21,495308.0840250226,0.002333453556954357,0.008096320698022907,-0.005762867141068551,96041.51516660443,399266.56885841815,0.0,0.8060974204455899,0.8060974204455899,0.0,0.0,0.0,0.0,-0.0,-0.009383831949954846,0.9906161680500452,0.9995399654964278,-0.00020337311638474187,,,0.0
2021-07-22,499589.83424167894,0.008644620095560773,0.002094120353702378,0.0065504997418583955,96041.51516660443,403548.3190750745,0.0,0.8077592685359889,0.8077592685359889,0.0,0.0,0.0,0.0,-0.0,-0.0008203315166420699,0.9991796684833579,1.0016331224825128,0.0,,,0.0
2021-07-23,503057.6585896536,0.006941342898296732,0.01028797134106152,-0.0033466284427647874,96041.51516660443,407016.1434230492,0.0,0.8090844786343946,0.8090844786343946,0.0,0.0,0.0,0.0,-0.0,0.006115317179307134,1.0061153171793071,1.0119378953408709,0.0,,,0.0
2021-07-26,501091.4047919119,-0.0039086052347442335,0.0024548802118165014,-0.006363485446560735,0.0,501091.4047919119,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.002182809583823886,1.0021828095838239,1.0144220816557303,-0.0039086052347441225,,,0.49006549219927587
2021-07-27,496050.0734780025,-0.010060702031005508,-0.004557616434436418,-0.005503085596569091,0.0,496050.0734780025,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.007899853043994987,0.992100146956005,1.009798734904921,-0.013929983953126057,,,0.0
2021-07-28,503962.41600034933,0.015950693176739694,-0.00041001344069435675,0.01636070661743405,0.0,503962.41600034933,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0079248320006986,1.0079248320006986,1.0093847038512138,0.0,,,0.0
2021-07-29,508036.3501586632,0.008083805515987086,0.00414739192961644,0.003936413586370646,0.0,508036.3501586632,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.016072700317326438,1.0160727003173264,1.0135710178258446,0.0,,,0.0
2021-07-30,507932.0925196891,-0.00020521688840080543,-0.004856462044417809,0.004651245156017003,0.0,507932.0925196891,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.015864185039378143,1.0158641850393781,1.0086486486484514,-0.00020521688840102748,,,0.0
