generated_at,signal_date,rank,ticker,name,industry_labels,market_cap_billion,er4,er12,er36,er_mean,status
2026-07-17 09:12:38 CST,2026-07-15,1,US.DELL,戴尔科技,计算机硬件,267.46120572588,-0.0875053887250641,-0.0024017704014063,0.6135411691993056,0.1745446700242783,观察
2026-07-17 09:12:38 CST,2026-07-15,2,US.PANW,Palo Alto Networks,软件基础设施,288.5263,0.0423127692968099,0.1283549658047778,0.3808356006200581,0.1838344452405486,入选
2026-07-17 09:12:38 CST,2026-07-15,3,US.AMAT,应用材料,半导体设备与材料,460.0439125249,-0.0198036100427408,-0.111052202660229,0.3369402896159701,0.0686948256376667,观察
2026-07-17 09:12:38 CST,2026-07-15,4,US.CRWD,CrowdStrike,软件基础设施,210.5454713256,0.0380635692288251,0.144287019348265,0.2570096174587042,0.1464534020119314,入选
2026-07-17 09:12:38 CST,2026-07-15,5,US.FTNT,飞塔信息,软件基础设施,120.52798680341,0.0006400098627956,0.051531909146393,0.2518444572487885,0.1013387920859924,入选
2026-07-17 09:12:38 CST,2026-07-15,6,US.APH,安费诺,电子元件,193.1960172428,-0.036175212822457,-0.0762202353894163,0.2407306021410982,0.0427783846430749,观察
2026-07-17 09:12:38 CST,2026-07-15,7,US.KLAC,科磊,半导体设备与材料,293.258784645,-0.0259956630820846,-0.1325070267879838,0.1997693030792122,0.0137555377363812,观察
2026-07-17 09:12:38 CST,2026-07-15,8,US.GE,GE航天航空,航空航天与国防,375.96657263225,-0.0004753122328504,-0.0576433023277207,0.1767539282540726,0.0395451045645004,观察
2026-07-17 09:12:38 CST,2026-07-15,9,US.AMD,美国超微公司,半导体,862.8160221204599,-0.0362793302443971,-0.020924446401481,0.1580434491950599,0.0336132241830606,观察
2026-07-17 09:12:38 CST,2026-07-15,10,US.ANET,Arista Networks,计算机硬件,216.48210978856,-0.0732668188539081,0.0554440769626121,0.1381136803398921,0.0400969794828653,观察
2026-07-17 09:16:07 CST,2026-07-16,1,US.PANW,Palo Alto Networks,软件基础设施,288.50185,0.09176177555219722,0.05311753085215365,0.34906347248301595,0.1646475929624556,入选
2026-07-17 09:16:07 CST,2026-07-16,2,US.DELL,戴尔科技,计算机硬件,253.65650551757997,-0.09461078778126297,-0.0691459658640231,0.3164518266123231,0.050898357655678995,观察
2026-07-17 09:16:07 CST,2026-07-16,3,US.AMAT,应用材料,半导体设备与材料,445.3556630699,-0.06339283055485256,-0.20560560423107943,0.2885622496533806,0.0065212716224828755,观察
2026-07-17 09:16:07 CST,2026-07-16,4,US.CRWD,CrowdStrike,软件基础设施,207.4805108928,0.09418085958032252,0.08397375960612696,0.21906284017613498,0.13240581978752816,入选
2026-07-17 09:16:07 CST,2026-07-16,5,US.FTNT,飞塔信息,软件基础设施,117.79520830498,0.026363606696974684,0.02136978707819015,0.19107176616547106,0.07960171998021197,入选
2026-07-17 09:16:07 CST,2026-07-16,6,US.KLAC,科磊,半导体设备与材料,286.5575928177,-0.046876247382342195,-0.2251221504565072,0.15227746404907094,-0.039906977929926146,观察
2026-07-17 09:16:07 CST,2026-07-16,7,US.APH,安费诺,电子元件,188.3981029073,-0.03161563955774449,-0.09291551009664345,0.15196779744356514,0.009145549263059069,观察
2026-07-17 09:16:07 CST,2026-07-16,8,US.SPGI,标普全球,金融数据与证券交易所,135.38448,0.06804204445779816,0.17045690319179707,0.1512422162346816,0.12991372129475895,入选
2026-07-17 09:16:07 CST,2026-07-16,9,US.GE,GE航天航空,航空航天与国防,358.71648761949,-0.03208451298558124,-0.08683510627150492,0.1336429051184036,0.004907761953772479,观察
2026-07-17 09:16:07 CST,2026-07-16,10,US.MU,美光科技,半导体,963.5982364332,-0.12316242463784755,-0.26803218389621675,0.12685383335717826,-0.08811359172562867,观察
