date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-08-20,long,US.AEM,396.95330974802806,0.11184826314636404,84169.97979897186,84169.97979897186,伊格尔矿业,黄金,84169.97979897186
2026-08-20,long,US.HMY,3662.6220352457804,0.1071720258255162,80650.93721611208,80650.93721611208,哈莫尼黄金,黄金,80650.93721611208
2026-08-20,long,US.EQX,6208.156233654757,0.10625528055600682,79961.05228947327,79961.05228947327,Equinox Gold,黄金,79961.05228947327
2026-08-20,long,US.AU,677.9049623938375,0.10307249243181069,77565.88579710289,77565.88579710289,AngloGold Ashanti,黄金,77565.88579710289
2026-08-20,long,US.GFI,1622.1437277954517,0.09797048110001115,73726.43242830329,73726.43242830329,金田,黄金,73726.43242830329
2026-08-20,long,US.WPM,484.83042587817016,0.09680022542444602,72845.77148819507,72845.77148819507,Wheaton Precious Metals,黄金,72845.77148819507
2026-08-20,long,US.NEM,566.4992773036769,0.09608557141584886,72307.96775504132,72307.96775504132,纽曼矿业,黄金,72307.96775504132
2026-08-20,long,US.HL,3471.712439149556,0.0960498060455529,72281.05298309376,72281.05298309376,赫克拉矿业,其他贵金属和采矿,72281.05298309376
2026-08-20,long,US.CDE,3404.4637720473856,0.09550123150313616,71868.23022792031,71868.23022792031,科尔黛伦矿业,黄金,71868.23022792031
2026-08-20,long,US.AXON,109.3346452453787,0.0892446225513071,67159.89918842632,67159.89918842632,Axon Enterprise,航空航天与国防,67159.89918842632
