signal_date,ticker,er3,er8,er20,adv20,adj_close,market_cap_used,vol20_ann,up_day_ratio20,er_consistency_penalty,er20_vol_score,book,stage,rank,trade_date,spy_ma,spy_above_ma,allow_new_buys,market_filter_mode,selection_style,spy_vol_ann,high_vol_regime,target_count_cap,name,industry_labels,spy_adj_close,spy_ma100,action,planned_holding,weight,market_value
2026-08-11,US.ZBRA,0.04906695990100385,0.28851759695856827,0.44777208670498236,273409517.7685,383.06,10836440474.16,0.9778401798709313,0.65,0.3987051268039785,0.4579195004689677,long,top10,1,,702.5566434482349,True,True,configured_price_above_ma,waterfall,0.14083938438511276,False,10,斑马技术,通讯设备,770.56,725.52475179417,keep,True,0.10197080102846919,77824.1957069321
2026-08-11,US.KRMN,0.1207201827617912,0.2728076987130066,0.32660392720603837,213627148.8425,61.94,11664964837.98,0.6859277204238939,0.65,0.20588374444424717,0.47614918814507395,long,top10,2,,702.5566434482349,True,True,configured_price_above_ma,waterfall,0.14083938438511276,False,10,Karman Holdings,航空航天与国防,770.56,725.52475179417,keep,True,0.0965176223683758,73662.32545596204
2026-08-11,US.MSFT,0.00529994344080964,0.07792308750661014,0.28392282594582174,17493143660.7645,503.81,2733114165857.94,0.6060022855413498,0.65,0.2786228825050121,0.46851774773784843,long,top10,3,,702.5566434482349,True,True,configured_price_above_ma,waterfall,0.14083938438511276,False,10,微软,软件基础设施,770.56,725.52475179417,keep,True,0.1027387337817477,78410.28258943315
2026-08-11,US.PLTR,0.11938336447956255,0.3919603810801686,0.2833435107141049,6805844850.1765,174.94,313596519226.32,1.1939860507764506,0.45,0.3811938869666698,0.2373088953006162,long,top10,4,,702.5566434482349,True,True,configured_price_above_ma,waterfall,0.14083938438511276,False,10,Palantir,软件基础设施,770.56,725.52475179417,keep,True,0.10532672952397674,80385.44297947176
2026-08-11,US.HMY,0.07828415741407402,0.16912491750181302,0.2552711803147827,46482658.744,19.51,10462861957.785,0.5692611203946714,0.45,0.17698702290070867,0.4484254609515612,long,top10,5,,702.5566434482349,True,True,configured_price_above_ma,waterfall,0.14083938438511276,False,10,哈莫尼黄金,黄金,770.56,725.52475179417,keep,True,0.10304532345396625,78644.27206889012
2026-08-11,US.MDB,0.18431664974019535,0.30868800003974495,0.24923373813283933,493187923.492,439.16,19112677215.87,0.6037344867772796,0.55,0.1838256122064552,0.4128201114752333,long,top10,6,,702.5566434482349,True,True,configured_price_above_ma,waterfall,0.14083938438511276,False,10,MongoDB,软件基础设施,770.56,725.52475179417,buy,True,,
2026-08-11,US.KTOS,0.10748308180542532,0.3414089318222908,0.2405759362036166,208855886.954,63.73,13570448012.32,0.6985458761659115,0.6,0.3347588456355397,0.3443953280836168,long,top10,7,,702.5566434482349,True,True,configured_price_above_ma,waterfall,0.14083938438511276,False,10,克瑞拓斯安全防卫,航空航天与国防,770.56,725.52475179417,keep,True,0.1056449534942493,80628.31176437238
2026-08-11,US.AEM,0.07975837874886094,0.16671385619328838,0.23365680443362913,446725644.3175,181.75,109180633671.59,0.5193810280726365,0.65,0.1538984256847682,0.4498755091242026,long,top10,8,,702.5566434482349,True,True,configured_price_above_ma,waterfall,0.14083938438511276,False,10,伊格尔矿业,黄金,770.56,725.52475179417,keep,True,0.09593009388776043,73213.92325653201
2026-08-11,US.WPM,0.07010323760499526,0.14655783030169633,0.21400348240777034,219687645.045,134.41,64523006764.58,0.4903426719617915,0.6,0.14390024480277508,0.4364365874003434,long,top10,9,,702.5566434482349,True,True,configured_price_above_ma,waterfall,0.14083938438511276,False,10,Wheaton Precious Metals,黄金,770.56,725.52475179417,buy,True,,
2026-08-11,US.NEM,0.10913063416946933,0.18507287563243335,0.2121323081619284,766808192.7945,117.21,128544440463.9,0.49112457276539895,0.55,0.10300167399245908,0.43193177439170827,long,top10,10,,702.5566434482349,True,True,configured_price_above_ma,waterfall,0.14083938438511276,False,10,纽曼矿业,黄金,770.56,725.52475179417,keep,True,0.09510064595413112,72580.88793990784
