rank_combined,fast_window,mid_window,slow_window,selection_style,final_count,strategy_nav,strategy_return_pct,max_drawdown_pct,target_buy_count,target_holding_days,target_signal_days,target_latest_in_basket,target_pnl_dollar,target_buy_cost,target_sell_proceeds,target_ending_market_value,target_pnl_rank,target_buy_count_rank,target_holding_days_rank,combined_score,latest_basket,notes
24,3,6,15,dual_objective,20,0.9658341951594482,-3.416580484055176,-27.303151324609097,8,30,38,False,17124.145485888235,402864.3932845496,419988.5387704378,0.0,52,7,46,1556.518339902072,HK.06166|HK.01888|HK.06651|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01877|HK.01729,
25,5,10,30,dual_objective,10,1.1230424288529084,12.30424288529084,-16.72130658235641,4,44,53,False,49762.25723030907,197177.78869914793,246940.045929457,0.0,13,121,13,1543.353933210805,HK.06166|HK.01877|HK.03750|HK.03896|HK.02252|HK.07618|HK.00470|HK.09696|HK.01888|HK.01548,
26,5,10,30,dual_objective,15,1.1230424288529084,12.30424288529084,-16.72130658235641,4,44,53,False,49762.25723030907,197177.78869914793,246940.045929457,0.0,13,121,13,1543.353933210805,HK.06166|HK.01877|HK.03750|HK.03896|HK.02252|HK.07618|HK.00470|HK.09696|HK.01888|HK.01548,
27,5,10,30,dual_objective,20,1.1230424288529084,12.30424288529084,-16.72130658235641,4,44,53,False,49762.25723030907,197177.78869914793,246940.045929457,0.0,13,121,13,1543.353933210805,HK.06166|HK.01877|HK.03750|HK.03896|HK.02252|HK.07618|HK.00470|HK.09696|HK.01888|HK.01548,
28,2,5,12,dual_objective,10,1.1980787032015603,19.807870320156027,-14.474499472139069,8,29,35,False,11494.263060283847,440563.47106649476,452057.7341267786,0.0,91,7,55,1516.6134403024896,HK.06166|HK.01888|HK.00522|HK.01729|HK.02252|HK.00470|HK.03896|HK.00148|HK.01548|HK.02577,
29,2,5,12,dual_objective,15,1.1980787032015603,19.807870320156027,-14.474499472139069,8,29,35,False,11494.263060283847,440563.47106649476,452057.7341267786,0.0,91,7,55,1516.6134403024896,HK.06166|HK.01888|HK.00522|HK.01729|HK.02252|HK.00470|HK.03896|HK.00148|HK.01548|HK.02577,
30,2,5,12,dual_objective,20,1.1980787032015603,19.807870320156027,-14.474499472139069,8,29,35,False,11494.263060283847,440563.47106649476,452057.7341267786,0.0,91,7,55,1516.6134403024896,HK.06166|HK.01888|HK.00522|HK.01729|HK.02252|HK.00470|HK.03896|HK.00148|HK.01548|HK.02577,
31,8,15,40,er_over_vol,10,1.2158054332696482,21.58054332696482,-15.195285525426193,5,44,44,False,45064.11711286986,279804.2474611407,324868.36457401054,0.0,16,85,13,1506.673783200255,HK.03317|HK.02618|HK.09926|HK.03931|HK.01288|HK.00522|HK.01888|HK.00995|HK.01398|HK.03750,
32,8,15,40,er_over_vol,15,1.2158054332696482,21.58054332696482,-15.195285525426193,5,44,44,False,45064.11711286986,279804.2474611407,324868.36457401054,0.0,16,85,13,1506.673783200255,HK.03317|HK.02618|HK.09926|HK.03931|HK.01288|HK.00522|HK.01888|HK.00995|HK.01398|HK.03750,
33,8,15,40,er_over_vol,20,1.2158054332696482,21.58054332696482,-15.195285525426193,5,44,44,False,45064.11711286986,279804.2474611407,324868.36457401054,0.0,16,85,13,1506.673783200255,HK.03317|HK.02618|HK.09926|HK.03931|HK.01288|HK.00522|HK.01888|HK.00995|HK.01398|HK.03750,
34,2,4,10,dual_objective,10,1.2928809724080728,29.288097240807275,-12.745627181454322,7,30,35,False,38889.85839065217,414008.118261126,452897.97665177815,0.0,25,31,46,1494.982456263762,HK.06166|HK.01888|HK.00522|HK.01729|HK.00148|HK.00470|HK.02252|HK.03896|HK.09678|HK.01385,
35,2,4,10,dual_objective,15,1.2928809724080728,29.288097240807275,-12.745627181454322,7,30,35,False,38889.85839065217,414008.118261126,452897.97665177815,0.0,25,31,46,1494.982456263762,HK.06166|HK.01888|HK.00522|HK.01729|HK.00148|HK.00470|HK.02252|HK.03896|HK.09678|HK.01385,
36,2,4,10,dual_objective,20,1.2928809724080728,29.288097240807275,-12.745627181454322,7,30,35,False,38889.85839065217,414008.118261126,452897.97665177815,0.0,25,31,46,1494.982456263762,HK.06166|HK.01888|HK.00522|HK.01729|HK.00148|HK.00470|HK.02252|HK.03896|HK.09678|HK.01385,
37,2,5,12,waterfall,10,1.1906972710972652,19.06972710972652,-12.462635614361705,8,28,34,False,8561.18804680038,448861.9649644648,457423.15301126515,0.0,109,7,70,1489.0351241183764,HK.06166|HK.01888|HK.00522|HK.01729|HK.02252|HK.00470|HK.03896|HK.00148|HK.01548|HK.02577,
38,2,5,12,waterfall,15,1.1906972710972652,19.06972710972652,-12.462635614361705,8,28,34,False,8561.18804680038,448861.9649644648,457423.15301126515,0.0,109,7,70,1489.0351241183764,HK.06166|HK.01888|HK.00522|HK.01729|HK.02252|HK.00470|HK.03896|HK.00148|HK.01548|HK.02577,
39,2,5,12,waterfall,20,1.1906972710972652,19.06972710972652,-12.462635614361705,8,28,34,False,8561.18804680038,448861.9649644648,457423.15301126515,0.0,109,7,70,1489.0351241183764,HK.06166|HK.01888|HK.00522|HK.01729|HK.02252|HK.00470|HK.03896|HK.00148|HK.01548|HK.02577,
40,2,4,10,waterfall,10,1.2977504427652127,29.775044276521268,-13.35575695486918,7,29,34,False,40985.21751413407,412093.5456089635,453078.7631230976,0.0,22,31,55,1480.355953687964,HK.06166|HK.01888|HK.00522|HK.01729|HK.00148|HK.00470|HK.02252|HK.03896|HK.09678|HK.01385,
41,2,4,10,waterfall,15,1.2977504427652127,29.775044276521268,-13.35575695486918,7,29,34,False,40985.21751413407,412093.5456089635,453078.7631230976,0.0,22,31,55,1480.355953687964,HK.06166|HK.01888|HK.00522|HK.01729|HK.00148|HK.00470|HK.02252|HK.03896|HK.09678|HK.01385,
42,2,4,10,waterfall,20,1.2977504427652127,29.775044276521268,-13.35575695486918,7,29,34,False,40985.21751413407,412093.5456089635,453078.7631230976,0.0,22,31,55,1480.355953687964,HK.06166|HK.01888|HK.00522|HK.01729|HK.00148|HK.00470|HK.02252|HK.03896|HK.09678|HK.01385,
43,2,8,20,waterfall,10,1.2465471013045293,24.654710130452926,-15.582079601057286,8,27,33,False,9303.840313725115,432981.20438588003,442285.04469960515,0.0,106,7,79,1476.3520335104745,HK.06166|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01548|HK.09678|HK.03696|HK.03896,
44,2,8,20,waterfall,15,1.2465471013045293,24.654710130452926,-15.582079601057286,8,27,33,False,9303.840313725115,432981.20438588003,442285.04469960515,0.0,106,7,79,1476.3520335104745,HK.06166|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01548|HK.09678|HK.03696|HK.03896,
45,2,8,20,waterfall,20,1.2465471013045293,24.654710130452926,-15.582079601057286,8,27,33,False,9303.840313725115,432981.20438588003,442285.04469960515,0.0,106,7,79,1476.3520335104745,HK.06166|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01548|HK.09678|HK.03696|HK.03896,
46,2,8,20,dual_objective,10,1.1938058552866384,19.38058552866384,-15.516853255186225,8,27,33,False,9805.872111790231,428334.45197414135,438140.3240859316,0.0,103,7,79,1472.2486884902744,HK.06166|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01548|HK.09678|HK.03696|HK.03896,
47,2,8,20,dual_objective,15,1.1938058552866384,19.38058552866384,-15.516853255186225,8,27,33,False,9805.872111790231,428334.45197414135,438140.3240859316,0.0,103,7,79,1472.2486884902744,HK.06166|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01548|HK.09678|HK.03696|HK.03896,
48,2,8,20,dual_objective,20,1.1938058552866384,19.38058552866384,-15.516853255186225,8,27,33,False,9805.872111790231,428334.45197414135,438140.3240859316,0.0,103,7,79,1472.2486884902744,HK.06166|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01548|HK.09678|HK.03696|HK.03896,
49,4,10,25,waterfall,10,1.1227616747470335,12.276167474703348,-18.429987388434597,4,38,49,True,35089.64541988418,197127.95849261247,232217.60391249665,0.0,28,121,22,1469.1081162499167,HK.03317|HK.06166|HK.02252|HK.06088|HK.01888|HK.01877|HK.09696|HK.00522|HK.01729|HK.06869,
50,4,10,25,waterfall,15,1.1227616747470335,12.276167474703348,-18.429987388434597,4,38,49,True,35089.64541988418,197127.95849261247,232217.60391249665,0.0,28,121,22,1469.1081162499167,HK.03317|HK.06166|HK.02252|HK.06088|HK.01888|HK.01877|HK.09696|HK.00522|HK.01729|HK.06869,
51,4,10,25,waterfall,20,1.1227616747470335,12.276167474703348,-18.429987388434597,4,38,49,True,35089.64541988418,197127.95849261247,232217.60391249665,0.0,28,121,22,1469.1081162499167,HK.03317|HK.06166|HK.02252|HK.06088|HK.01888|HK.01877|HK.09696|HK.00522|HK.01729|HK.06869,
52,4,10,25,dual_objective,10,1.0920944677567368,9.20944677567368,-18.911927144121567,4,38,49,True,33773.05173990596,192403.76335619038,226176.81509609634,0.0,31,121,22,1462.9709904416725,HK.03317|HK.06166|HK.02252|HK.06088|HK.01888|HK.01877|HK.09696|HK.00522|HK.01729|HK.06869,
53,4,10,25,dual_objective,15,1.0920944677567368,9.20944677567368,-18.911927144121567,4,38,49,True,33773.05173990596,192403.76335619038,226176.81509609634,0.0,31,121,22,1462.9709904416725,HK.03317|HK.06166|HK.02252|HK.06088|HK.01888|HK.01877|HK.09696|HK.00522|HK.01729|HK.06869,
54,4,10,25,dual_objective,20,1.0920944677567368,9.20944677567368,-18.911927144121567,4,38,49,True,33773.05173990596,192403.76335619038,226176.81509609634,0.0,31,121,22,1462.9709904416725,HK.03317|HK.06166|HK.02252|HK.06088|HK.01888|HK.01877|HK.09696|HK.00522|HK.01729|HK.06869,
55,2,6,15,waterfall,10,1.1069076060201952,10.690760602019523,-20.534183450358178,8,26,32,False,13206.496541264118,416476.1266143968,429682.6231556609,0.0,79,7,94,1451.4894003583606,HK.06166|HK.01888|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01729|HK.00148|HK.00699,
56,2,6,15,waterfall,15,1.1069076060201952,10.690760602019523,-20.534183450358178,8,26,32,False,13206.496541264118,416476.1266143968,429682.6231556609,0.0,79,7,94,1451.4894003583606,HK.06166|HK.01888|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01729|HK.00148|HK.00699,
57,2,6,15,waterfall,20,1.1069076060201952,10.690760602019523,-20.534183450358178,8,26,32,False,13206.496541264118,416476.1266143968,429682.6231556609,0.0,79,7,94,1451.4894003583606,HK.06166|HK.01888|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01729|HK.00148|HK.00699,
58,2,6,15,dual_objective,10,1.0607265184058399,6.072651840583987,-22.38261745511777,8,26,32,False,13550.271816409775,409327.893830752,422878.1656471618,0.0,73,7,94,1447.6730039074737,HK.06166|HK.01888|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01729|HK.00148|HK.00699,
59,2,6,15,dual_objective,15,1.0607265184058399,6.072651840583987,-22.38261745511777,8,26,32,False,13550.271816409775,409327.893830752,422878.1656471618,0.0,73,7,94,1447.6730039074737,HK.06166|HK.01888|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01729|HK.00148|HK.00699,
60,2,6,15,dual_objective,20,1.0607265184058399,6.072651840583987,-22.38261745511777,8,26,32,False,13550.271816409775,409327.893830752,422878.1656471618,0.0,73,7,94,1447.6730039074737,HK.06166|HK.01888|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01729|HK.00148|HK.00699,
61,3,6,15,waterfall,10,0.9710157276150558,-2.8984272384944165,-27.17619361023965,7,29,37,False,15043.882532573305,343003.04750316415,358046.93003573746,0.0,61,31,55,1432.1851482737352,HK.06166|HK.01888|HK.06651|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01877|HK.01729,
62,3,6,15,waterfall,15,0.9710157276150558,-2.8984272384944165,-27.17619361023965,7,29,37,False,15043.882532573305,343003.04750316415,358046.93003573746,0.0,61,31,55,1432.1851482737352,HK.06166|HK.01888|HK.06651|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01877|HK.01729,
63,3,6,15,waterfall,20,0.9710157276150558,-2.8984272384944165,-27.17619361023965,7,29,37,False,15043.882532573305,343003.04750316415,358046.93003573746,0.0,61,31,55,1432.1851482737352,HK.06166|HK.01888|HK.06651|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01877|HK.01729,
64,3,8,15,dual_objective,10,1.0276986377894053,2.769863778940529,-23.171599354843554,7,28,36,False,17581.079105190292,349513.05384337995,367094.13294857024,0.0,46,31,70,1423.7703910722043,HK.06166|HK.01888|HK.06651|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01877|HK.01729,
65,3,8,15,dual_objective,15,1.0276986377894053,2.769863778940529,-23.171599354843554,7,28,36,False,17581.079105190292,349513.05384337995,367094.13294857024,0.0,46,31,70,1423.7703910722043,HK.06166|HK.01888|HK.06651|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01877|HK.01729,
66,3,8,15,dual_objective,20,1.0276986377894053,2.769863778940529,-23.171599354843554,7,28,36,False,17581.079105190292,349513.05384337995,367094.13294857024,0.0,46,31,70,1423.7703910722043,HK.06166|HK.01888|HK.06651|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01877|HK.01729,
67,5,10,30,er_over_vol,10,1.1213927563430592,12.139275634305925,-19.244940819156263,8,27,31,False,3942.6074682325707,412069.25107998285,416011.8585482154,0.0,127,7,79,1421.333761600766,HK.01288|HK.01877|HK.03750|HK.03896|HK.02252|HK.01548|HK.00470|HK.09696|HK.00998|HK.00995,
68,5,10,30,er_over_vol,15,1.1213927563430592,12.139275634305925,-19.244940819156263,8,27,31,False,3942.6074682325707,412069.25107998285,416011.8585482154,0.0,127,7,79,1421.333761600766,HK.01288|HK.01877|HK.03750|HK.03896|HK.02252|HK.01548|HK.00470|HK.09696|HK.00998|HK.00995,
69,5,10,30,er_over_vol,20,1.1213927563430592,12.139275634305925,-19.244940819156263,8,27,31,False,3942.6074682325707,412069.25107998285,416011.8585482154,0.0,127,7,79,1421.333761600766,HK.01288|HK.01877|HK.03750|HK.03896|HK.02252|HK.01548|HK.00470|HK.09696|HK.00998|HK.00995,
70,3,8,15,waterfall,10,0.961087877498663,-3.891212250133702,-28.71313231007193,7,28,36,False,13344.872828863794,342223.3400849615,355568.2129138253,0.0,76,31,70,1407.2301324279317,HK.06166|HK.01888|HK.06651|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01877|HK.01729,
