signal_date,ticker,er8,er15,er40,adv20,adj_close,market_cap_used,vol20_ann,up_day_ratio20,er_consistency_penalty,er20_vol_score,book,stage,rank,trade_date,spy_ma,spy_above_ma,allow_new_buys,market_filter_mode,selection_style,spy_vol_ann,high_vol_regime,target_count_cap,name,industry_labels,spy_adj_close,spy_ma100,action,planned_holding,weight,market_value
2026-07-14,HK.06821,0.1423554933137836,0.2873337366823534,0.39784734939866606,113141292.7684265,127.6,27643022702.0,0.9378383474695452,0.55,0.25549185608488245,0.42421740428094995,long,top10,1,,25825.829100000003,False,True,configured_price_above_ma,dual_objective_liquidity,0.20245786414578035,False,10,凯莱英,,24340.73,25351.231099999997,keep,True,0.10119671766358238,76577.89320569557
2026-07-14,HK.03759,0.1962228175065086,0.5234667038449232,0.35191778010150965,170465345.498415,23.6,33818775661.44,0.5404123882601127,0.65,0.4987928100818282,0.6512022813439348,long,top10,2,,25825.829100000003,False,True,configured_price_above_ma,dual_objective_liquidity,0.20245786414578035,False,10,康龙化成,,24340.73,25351.231099999997,keep,True,0.11372704991523512,86059.88498520027
2026-07-14,HK.02689,0.019517518495175246,0.09080053614410954,0.28881972394600197,115521528.1525,7.57,34112445295.97,0.6594484640666901,0.6,0.2693022054508267,0.43797163794257254,long,top10,3,,25825.829100000003,False,True,configured_price_above_ma,dual_objective_liquidity,0.20245786414578035,False,10,玖龙纸业,,24340.73,25351.231099999997,buy,True,,
2026-07-14,HK.02269,0.00948719222635197,0.21860626675755923,0.24796286120090394,1153137227.213,38.2,139931644601.52,0.4486054146584968,0.55,0.23847566897455197,0.5527415699823127,long,top10,4,,25825.829100000003,False,True,configured_price_above_ma,dual_objective_liquidity,0.20245786414578035,False,10,药明生物,,24340.73,25351.231099999997,keep,True,0.10251112786276768,77572.53775727387
2026-07-14,HK.06990,0.009673975062559848,0.2455485540813831,0.22343389137930458,664166334.3299999,498.2,97378460654.4,0.6997223881554041,0.6,0.25798924172090176,0.31931791116233554,long,top10,5,,25825.829100000003,False,True,configured_price_above_ma,dual_objective_liquidity,0.20245786414578035,False,10,科伦博泰生物-B,,24340.73,25351.231099999997,keep,True,0.09802452914428246,74177.42489735733
2026-07-14,HK.09969,0.10711835465253472,0.3183017726237727,0.2013472102420082,132127818.29100001,14.35,21498327014.4,0.6228529383664232,0.6,0.32813798035300246,0.32326605180684886,long,top10,6,,25825.829100000003,False,True,configured_price_above_ma,dual_objective_liquidity,0.20245786414578035,False,10,诺诚健华,,24340.73,25351.231099999997,keep,True,0.09589883427363688,72568.862499777
2026-07-14,HK.02096,0.10642063796606571,0.33160139591404136,0.17732068245728394,87212376.5555,12.54,29902436559.36,0.5371476055409976,0.55,0.3794614714047331,0.33011537355489523,long,top10,7,,25825.829100000003,False,True,configured_price_above_ma,dual_objective_liquidity,0.20245786414578035,False,10,先声药业,,24340.73,25351.231099999997,keep,True,0.09961890600936389,75383.92669032779
2026-07-14,HK.00867,0.04023342758608428,0.1835652892883166,0.1314658777921558,81799490.117,12.33,32909239626.88,0.5398159296958867,0.4,0.19543127319839315,0.2435383443875379,long,top10,8,,25825.829100000003,False,True,configured_price_above_ma,dual_objective_liquidity,0.20245786414578035,False,10,康哲药业,,24340.73,25351.231099999997,keep,True,0.09778648344764661,73997.2902214911
2026-07-14,HK.03347,0.026417335632061167,0.16543930204506174,0.11407681308131146,73609377.779888,37.66,33270046572.0,0.567772255055385,0.5,0.19038445537675086,0.20092002042294846,long,top10,9,,25825.829100000003,False,True,configured_price_above_ma,dual_objective_liquidity,0.20245786414578035,False,10,泰格医药,,24340.73,25351.231099999997,buy,True,,
2026-07-14,HK.01513,0.01818576941024208,0.06964956961075086,0.10768631968229858,20889048.94875,26.14,23795912182.8,0.3747682301304972,0.5,0.0895005502720565,0.2873411111843749,long,top10,10,,25825.829100000003,False,True,configured_price_above_ma,dual_objective_liquidity,0.20245786414578035,False,10,丽珠医药,,24340.73,25351.231099999997,keep,True,0.0948535990464104,71777.90886557444
2026-07-14,HSI,,,,,,,,,,,,hedge,HEDGE,,,,True,,,,,10,HSI 动态对冲,Hedge,24340.73,25351.231099999997,short_hedge_25%,True,-0.24531214981286287,-185633.36879047146
