date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-07-06,long,HK.02689,10904.34018618188,0.10631248636231268,82763.94201312047,82763.94201312047,玖龙纸业,,82763.94201312047
2026-07-06,long,HK.01347,454.4468591303133,0.10390733732901486,80891.54092519578,80891.54092519578,华虹半导体,,80891.54092519578
2026-07-06,long,HK.06099,4479.482470849363,0.10247899752879004,79779.58280582716,79779.58280582716,招商证券,,79779.58280582716
2026-07-06,long,HK.09999,380.1313809923962,0.10175940185591083,79219.37979881537,79219.37979881537,网易-S,,79219.37979881537
2026-07-06,long,HK.02611,5102.298215459436,0.10099772343203015,78626.41550022991,78626.41550022991,国泰海通,,78626.41550022991
2026-07-06,long,HK.02888,349.04332255126843,0.09962457831471026,77557.42627089184,77557.42627089184,渣打集团,,77557.42627089184
2026-07-06,long,HK.02359,495.6518266446309,0.09900342334015821,77073.8590432401,77073.8590432401,药明康德,,77073.8590432401
2026-07-06,long,HK.00669,588.5148905418131,0.09721684704984936,75683.01492367715,75683.01492367715,创科实业,,75683.01492367715
2026-07-06,long,HK.06821,640.6858329221787,0.0948070661637129,73807.00795263499,73807.00795263499,凯莱英,,73807.00795263499
2026-07-06,long,HK.00522,374.4590984651958,0.09413222419970038,73281.64556963881,73281.64556963881,ASMPT,,73281.64556963881
2026-07-06,spy_hedge,HSI,8.360535357038199,-0.2536234583589334,197445.07836312836,-197445.07836312836,HSI 动态对冲,Hedge,-197445.07836312836
