base_series,kind,source,full_dd,gamma,smooth,max_delta,avg_exposure,days_at_130,days_at_80,total_return,cagr,ann_vol,sharpe,max_drawdown,final_nav,daily_win_rate
available_equal_weight,static,none,,,0.0,999.0,0.8,0,1149,12.479448352584857,0.7930954393446845,0.3038877898921905,2.030856666456634,-0.34353070875462244,13.479448352584857,0.5369886858137511
available_equal_weight,static,none,,,0.0,999.0,1.0,0,0,23.175051088972175,1.0443544854999067,0.37985973736523804,2.0308566664566343,-0.4138416582283768,24.175051088972175,0.5369886858137511
available_equal_weight,static,none,,,0.0,999.0,1.3,1149,0,54.26437396813915,1.461311856102287,0.49381765857480947,2.030856666456634,-0.5084307591955195,55.26437396813915,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.0,999.0,1.2194082831810589,852,150,23.77900994603151,1.0557106842916513,0.44992426756304216,1.7912699949385997,-0.4991751549664336,24.77900994603151,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.0,0.01,1.240019183990914,705,2,38.88378892809004,1.2875335855034549,0.45770581369361524,1.9972246513457435,-0.4701338800492588,39.88378892809004,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.0,0.02,1.2330452231215332,741,2,33.55002980648259,1.2149850414202095,0.4506481612475287,1.951384802988776,-0.4811750561026761,34.55002980648259,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.0,0.05,1.2217563340992879,798,27,28.234271190494162,1.133449924208016,0.4451833371513988,1.8872738903986934,-0.4980709891102808,29.234271190494162,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.0,0.1,1.2192197154417261,813,67,28.77441049685534,1.1422363022907085,0.4491796905895545,1.8831073701421546,-0.49736558675161746,29.77441049685534,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.25,999.0,1.2197719259790663,792,34,24.750239528315685,1.0735304820394687,0.4487589344898539,1.8136477124727741,-0.4983431538490468,25.750239528315685,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.25,0.01,1.2399436086452464,697,2,38.88327492233713,1.287526967242433,0.4576473222839094,1.9974156024172007,-0.4702190510176375,39.88327492233713,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.25,0.02,1.232689404144477,722,2,33.42005311629509,1.213111665289806,0.45046015129939626,1.9501787646657553,-0.4812192939282588,34.42005311629509,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.25,0.05,1.2224733641003498,774,13,28.547170481555955,1.138555005451288,0.44595145821447607,1.8900205350546215,-0.4977723970134855,29.547170481555955,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.25,0.1,1.220278779464266,778,20,28.605356155339187,1.1394997010816699,0.44941709148552844,1.8796159554965475,-0.4972488290476629,29.605356155339187,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.5,999.0,1.2202037959315195,756,11,26.160543690497498,1.0985003631578905,0.4481506569383163,1.8416300354124484,-0.4973600542486051,27.160543690497498,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.5,0.01,1.2395054240154104,683,2,38.74784412548877,1.2857808712329732,0.4573322413503909,1.9968430805223716,-0.4703361211598528,39.74784412548877,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.5,0.02,1.232102587532444,705,2,33.2327562044048,1.2104024506380675,0.450030098213311,1.9489598304684228,-0.480978998608,34.2327562044048,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.5,0.05,1.2223896229678053,749,4,28.790824932022705,1.142501371938196,0.4465938160667062,1.891953693411817,-0.4969752611124564,29.790824932022705,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.5,0.1,1.2217634406335127,754,8,28.319819371896298,1.1348498706537944,0.44962809765662703,1.8742916851524942,-0.49685956324687786,29.319819371896298,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.75,999.0,1.2204597348384332,693,2,28.28662135897714,1.134306980993859,0.4471604187936007,1.8816752447482818,-0.4950237708471982,29.28662135897714,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.75,0.01,1.23864125855554,660,2,38.43123586346798,1.2816807983798482,0.45665584811354565,1.9952873734580547,-0.4707062641703411,39.43123586346798,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.75,0.02,1.230006966740627,673,2,32.81356930387231,1.2042970795855648,0.448805755667496,1.9470271779908963,-0.4807387688831707,33.81356930387231,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.75,0.05,1.2224607115871726,690,2,29.550544298748772,1.1546476415027374,0.44802464148847176,1.8996231109670525,-0.4940805291776871,30.550544298748772,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.75,0.1,1.2207009776451883,693,2,28.365208094904148,1.1355913450413255,0.4472472598792129,1.882716264727851,-0.4949775568898346,29.365208094904148,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.9,999.0,1.2202477309916786,596,2,30.20829455325479,1.1649758754099189,0.4456175792781122,1.918031975720196,-0.486847178998729,31.20829455325479,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.9,0.01,1.2357845855439569,586,2,37.50162469806157,1.2694929690486014,0.4545496540449571,1.990910376480803,-0.4713378415294419,38.50162469806157,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.9,0.02,1.2252692224347965,596,2,31.45795234154395,1.1841421935143064,0.44696469370826153,1.933062762134389,-0.48094878980366984,32.45795234154395,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.9,0.05,1.2202477309916786,596,2,30.20829455325479,1.1649758754099189,0.4456175792781122,1.918031975720196,-0.486847178998729,31.20829455325479,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.9,0.1,1.2202477309916786,596,2,30.20829455325479,1.1649758754099189,0.4456175792781122,1.918031975720196,-0.486847178998729,31.20829455325479,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.95,999.0,1.2184807250205338,489,2,31.36639161473206,1.1827575203814789,0.4434326044566315,1.9434506153159845,-0.47711611494195705,32.36639161473206,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.95,0.01,1.2263672507656496,481,2,34.49443978961893,1.2284353356531574,0.44774347057464164,1.974446040050716,-0.46991808136920266,35.49443978961893,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.95,0.02,1.2188564859804656,489,2,31.434749100872622,1.1837915776806476,0.4435323254654273,1.9441623767338512,-0.4769483037884854,32.43474910087262,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.95,0.05,1.2184807250205338,489,2,31.36639161473206,1.1827575203814789,0.4434326044566315,1.9434506153159845,-0.47711611494195705,32.36639161473206,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.25,0.95,0.1,1.2184807250205338,489,2,31.36639161473206,1.1827575203814789,0.4434326044566315,1.9434506153159845,-0.47711611494195705,32.36639161473206,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.0,999.0,1.2144939094710008,842,149,23.19609020116056,1.0447537607404165,0.446860272405884,1.78879791816057,-0.4986583654272645,24.19609020116056,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.0,0.01,1.2291929349537118,693,2,34.83574658910469,1.2332279688779604,0.4498776104438414,1.9719128965067088,-0.4701338800492588,35.83574658910469,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.0,0.02,1.2204627825915622,729,3,30.171428512630587,1.1644014796625872,0.4428367139348985,1.9268853519012101,-0.4811750561026761,31.171428512630587,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.0,0.05,1.2121071593935433,787,33,26.527686554021297,1.1048353273473803,0.44013271226524925,1.8737869487103591,-0.49781246219056396,27.527686554021297,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.0,0.1,1.2125368049573344,808,73,27.12998980635364,1.1150874409722529,0.445561433585823,1.8668037921529006,-0.4968865712144306,28.12998980635364,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.25,999.0,1.214552650007038,782,36,24.075395297014666,1.0612052418030857,0.4457714853930959,1.8097361506845964,-0.4977646984930205,25.075395297014666,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.25,0.01,1.2291233482874842,688,2,34.860962903591634,1.2335806501691153,0.4498381632033196,1.972388483734612,-0.4702190510176375,35.860962903591634,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.25,0.02,1.2202257331054225,715,2,30.01463620831227,1.1619526573147758,0.44273197132703024,1.9247386136347637,-0.4811519566977839,31.01463620831227,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.25,0.05,1.2129231444639124,765,15,26.849501243287172,1.1103345000300653,0.4410450593147128,1.876592781838494,-0.4974986642627248,27.849501243287172,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.25,0.1,1.213669377027364,774,22,26.84543683228156,1.1102653553541524,0.4456168577476738,1.8616747488049394,-0.49672281239205507,27.84543683228156,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.5,999.0,1.2145376217001878,749,11,25.319706593968817,1.08373772949375,0.4451228293853591,1.835613092724627,-0.4966510827223931,26.319706593968817,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.5,0.01,1.2286812739459358,678,2,34.71489899265675,1.2315350897889914,0.44952300394678174,1.971459730033412,-0.4703361211598528,35.71489899265675,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.5,0.02,1.2200131029411112,700,2,30.121581480099493,1.1636239936927653,0.4428187696664048,1.9261467833736379,-0.4809188667953781,31.121581480099493,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.5,0.05,1.21331177730115,742,6,27.059669080073267,1.1138993049506056,0.44199697555459366,1.8772278043502706,-0.4965765829493839,28.059669080073267,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.5,0.1,1.2155090358299263,746,10,26.919661853596157,1.1115268564307392,0.44618975518734577,1.8612323798015722,-0.4961832941376768,27.919661853596157,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.75,999.0,1.2143548247429092,684,2,27.349334552951614,1.1187787433054077,0.44383729980352554,1.8763525358573945,-0.4940631035981381,28.349334552951614,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.75,0.01,1.2272480837818172,659,2,34.13852695828909,1.2233993858572103,0.44844185355055993,1.9671654726086334,-0.4707062641703411,35.13852695828909,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.75,0.02,1.2195975944743707,670,2,29.989447112124164,1.161558352974759,0.4427665112658185,1.9242237341024255,-0.48051998215806146,30.989447112124164,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.75,0.05,1.2151127519015983,683,2,28.01962756052878,1.1299233672233413,0.44398691211987973,1.8874287210223402,-0.49332110504573223,29.01962756052878,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.75,0.1,1.2145117219949193,684,2,27.397233217801823,1.1195818707808862,0.44390608658690395,1.8769664552703496,-0.4940631035981381,28.397233217801823,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.9,999.0,1.21468591867719,592,2,29.179927733579746,1.148751910886749,0.4425849197291488,1.9115145467699184,-0.4859062561614572,30.179927733579746,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.9,0.01,1.2247204116319381,583,2,33.56794547197347,1.215242834160935,0.4467222972085373,1.9649648677594473,-0.47132993367852505,34.56794547197347,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.9,0.02,1.2179697500129032,593,2,29.812499810565228,1.1587814321947656,0.44287324222738855,1.9210002132669726,-0.4806382448925596,30.812499810565228,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.9,0.05,1.21468591867719,592,2,29.179927733579746,1.148751910886749,0.4425849197291488,1.9115145467699184,-0.4859062561614572,30.179927733579746,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.9,0.1,1.21468591867719,592,2,29.179927733579746,1.148751910886749,0.4425849197291488,1.9115145467699184,-0.4859062561614572,30.179927733579746,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.95,999.0,1.2131767167445968,488,2,30.302467571452347,1.1664407641473216,0.44056793391629584,1.9365515343729909,-0.4764060187519116,31.302467571452347,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.95,0.01,1.2187825664532215,479,2,32.26015190274591,1.1961461177643349,0.44296426807663114,1.9587142591019195,-0.4697547219888817,33.26015190274591,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.95,0.02,1.213462752300587,488,2,30.34739486428462,1.1671384173738857,0.44063995143971846,1.9370249698133735,-0.4763495719193802,31.34739486428462,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.95,0.05,1.2131767167445968,488,2,30.302467571452347,1.1664407641473216,0.44056793391629584,1.9365515343729909,-0.4764060187519116,31.302467571452347,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.35,0.95,0.1,1.2131767167445968,488,2,30.302467571452347,1.1664407641473216,0.44056793391629584,1.9365515343729909,-0.4764060187519116,31.302467571452347,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.0,999.0,1.207634166191939,835,149,22.377600658412135,1.029018050299463,0.4427472757492545,1.784242441743343,-0.49787863220965434,23.377600658412135,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.0,0.01,1.2165588473183695,691,2,30.145647249761737,1.1639994785075576,0.4400725436243126,1.936026352858989,-0.4701338800492588,31.145647249761737,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.0,0.02,1.2073215911826964,722,7,26.31996885309682,1.10125931406203,0.4345693396064838,1.8885668201703885,-0.4810669055019795,27.31996885309682,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.0,0.05,1.2022684117018534,780,41,24.983310524217753,1.0777290510719242,0.4356287897775055,1.8594580729330288,-0.49716392697354983,25.983310524217753,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.0,0.1,1.2047505039493789,803,86,25.422636676975028,1.0855643547576683,0.4414288928646857,1.8490140710724352,-0.49622598573545484,26.422636676975028,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.25,999.0,1.2072552408265644,778,40,23.06903097542055,1.0423383507758288,0.44168998618375244,1.802014664652649,-0.4969080855404353,24.06903097542055,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.25,0.01,1.2163125893208055,685,2,30.092720174392383,1.1631733897327763,0.43995135679382524,1.9355864343530582,-0.4702190510176375,31.092720174392383,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.25,0.02,1.2077776981816262,710,4,26.436163946309378,1.1032622861588512,0.43499116855752523,1.8893041603799767,-0.48103992143961516,27.436163946309378,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.25,0.05,1.2027157122308865,758,17,24.98425512507876,1.0777460076930092,0.43604074260446823,1.8581417572661414,-0.496638195096745,25.98425512507876,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.25,0.1,1.2054110336186667,767,27,25.155596101085774,1.0808138890911523,0.4412321648432274,1.8446525016329671,-0.4959719456735351,26.155596101085774,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.5,999.0,1.206964521515567,744,12,24.32545630993479,1.0658019760399235,0.44115014944597064,1.8290026262601706,-0.49560386145075386,25.32545630993479,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.5,0.01,1.2158969489591993,677,2,29.953260321366134,1.1609914579956957,0.43971990271838357,1.9341270243987143,-0.4703361211598528,30.953260321366134,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.5,0.02,1.2079480312331963,696,2,26.596505632572626,1.1060154831765447,0.43534492037142536,1.8910587233476956,-0.48082985744845463,27.596505632572626,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.5,0.05,1.2038334239186956,731,8,25.131966489436895,1.0803917261933602,0.43711274463881544,1.8575289094833733,-0.49548660123835886,26.131966489436895,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.5,0.1,1.2065902407611429,739,11,25.337262388693112,1.08404967079656,0.44151672580593754,1.8472481375442056,-0.4951876467443256,26.337262388693112,0.5369886858137511
available_equal_weight,dynamic,levered,0.05,0.5,0.75,999.0,1.206136587670669,676,2,26.22314044111544,1.0995851322376002,0.4396580150535234,1.8697548735985132,-0.4926543143399623,27.22314044111544,0.5369886858137511
