date,variant,US.SNDK,HK.01888,HK.02513,US.WDC,US.MU,HK.00148,US.STX,US.BE,US.NBIS,US.TTMI
2022-03-15,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-16,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-17,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-18,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-21,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-22,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-23,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-24,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-25,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-28,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-29,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-30,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-31,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-01,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-04,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-05,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-06,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-07,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-08,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-11,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-12,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-13,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-14,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-18,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-19,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-20,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-21,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-22,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-25,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-26,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-27,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-28,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-29,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-02,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-03,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-04,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-05,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-06,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-09,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-10,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-11,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-12,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-13,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-16,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-17,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-18,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-19,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-20,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-23,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-24,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-25,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-26,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-27,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-30,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-05-31,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-01,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-02,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-03,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-06,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-07,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-08,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-09,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-10,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-13,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-14,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-15,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-16,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-17,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-20,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-21,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-22,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-23,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-24,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-27,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-28,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-29,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-06-30,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-01,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-04,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-05,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-06,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-07,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-08,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-11,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-12,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-13,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-14,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-15,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-18,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-19,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-20,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-21,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-22,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-25,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-26,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-27,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-28,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-07-29,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-01,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-02,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-03,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-04,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-05,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-08-08,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
