date,variant,daily_return,nav,gross_exposure
2022-01-03,baseline_80,0.0,1.0,0.0
2022-01-04,baseline_80,0.0016472651608636913,1.0016472651608637,0.64
2022-01-05,baseline_80,-0.019772326495799516,0.9818423684004783,0.64
2022-01-06,baseline_80,-0.006970133348359104,0.9749987961656583,0.64
2022-01-07,baseline_80,-0.0029960773883698447,0.9720776243187786,0.64
2022-01-10,baseline_80,0.005470486837524272,0.9773953621676665,0.64
2022-01-11,baseline_80,0.002123264037891586,0.9794706305909592,0.64
2022-01-12,baseline_80,0.0050979363619815575,0.9844639095341419,0.64
2022-01-13,baseline_80,-0.008241891643021687,0.976350064665296,0.64
2022-01-14,baseline_80,0.0017211319464291732,0.9780304919524896,0.64
2022-01-17,baseline_80,-0.002790332684649108,0.975301461504211,0.64
2022-01-18,baseline_80,-0.01531913171011513,0.9603606899583602,0.64
2022-01-19,baseline_80,-0.01154887273755425,0.9492696065678813,0.64
2022-01-20,baseline_80,-0.011707425764229394,0.9381561031187486,0.64
2022-01-21,baseline_80,-0.019169297870065088,0.9201723093294459,0.64
2022-01-24,baseline_80,-0.002132697156616308,0.9182098604617419,0.64
2022-01-25,baseline_80,-0.016763694467113267,0.9028172709042706,0.64
2022-01-26,baseline_80,-0.0071966277098997455,0.8963200311155048,0.64
2022-01-27,baseline_80,-0.006352724450667964,0.8906259569382139,0.64
2022-01-28,baseline_80,-0.000974169489800101,0.8897583363041407,0.64
2022-01-31,baseline_80,0.02408623305057125,0.9111892629510508,0.64
2022-02-01,baseline_80,0.003431235157359884,0.9143157675850975,0.64
2022-02-02,baseline_80,0.004287287984549611,0.9182357025895493,0.64
2022-02-03,baseline_80,-0.013668549046364725,0.9056847528525809,0.64
2022-02-04,baseline_80,0.0064113034406531365,0.9114913726246918,0.64
2022-02-07,baseline_80,0.001993442619275152,0.9133083783739835,0.64
2022-02-08,baseline_80,0.014706995694420187,0.9267404007624075,0.64
2022-02-09,baseline_80,0.022825907698220432,0.947894091610422,0.64
2022-02-10,baseline_80,-0.015319422774782864,0.9333729012753232,0.64
2022-02-11,baseline_80,-0.006295153518577089,0.9274971755717154,0.64
2022-02-14,baseline_80,-0.0005175491297594715,0.9270171502156439,0.64
2022-02-15,baseline_80,0.03917306599221443,0.963331254216956,0.64
2022-02-16,baseline_80,0.007045003628965595,0.9701179263988103,0.64
2022-02-17,baseline_80,-0.01394158554402778,0.9565929443401264,0.64
2022-02-18,baseline_80,-0.018743562311610375,0.9386629848810405,0.64
2022-02-21,baseline_80,0.0006504988832427916,0.939273584104447,0.64
2022-02-22,baseline_80,-0.021504921701827415,0.919074579221686,0.64
2022-02-23,baseline_80,-0.01683196487482859,0.9036047481868786,0.64
2022-02-24,baseline_80,-0.027423962435092982,0.8788243255164301,0.64
2022-02-25,baseline_80,0.0054537087452172,0.8836171774260085,0.64
2022-02-28,baseline_80,-0.0044973852011512515,0.8796432106087697,0.64
2022-03-01,baseline_80,-0.003533341123129379,0.8765351310790441,0.64
2022-03-02,baseline_80,0.010752524026177872,0.8859600961357605,0.64
2022-03-03,baseline_80,-0.008149166010181634,0.8787402602339537,0.64
2022-03-04,baseline_80,-0.02079251485882418,0.8604690403159921,0.64
