variant,year,start_date,end_date,return,ann_vol,sharpe,max_drawdown,end_nav,daily_win_rate
baseline_80,2022,2022-01-03,2022-12-30,-0.2304474239647778,0.19933400959030212,-1.1885061594385082,-0.2829249080029115,0.7695525760352222,0.42412451361867703
baseline_80,2023,2023-01-03,2023-12-29,0.11203978761074707,0.145470585262853,0.7885271220906618,-0.16934616080247578,0.8557730832095117,0.490272373540856
baseline_80,2024,2024-01-02,2024-12-31,0.23430641253830542,0.18108642870304104,1.2220547931696741,-0.15617871086811885,1.056286204283177,0.5675675675675675
baseline_80,2025,2025-01-02,2025-12-31,1.6520286019215464,0.3289871698989781,3.066416928908658,-0.2516815929069862,2.801301225574131,0.6085271317829457
baseline_80,2026,2026-01-02,2026-06-18,3.251067522615763,0.4877232260126304,6.617870320743693,-0.12854840074496499,11.908520661101923,0.6610169491525424
exec_best_sharpe,2022,2022-01-03,2022-12-30,-0.21448495342381313,0.20947624462589887,-1.0251516278803154,-0.2861633021774741,0.7855150465761869,0.4280155642023346
exec_best_sharpe,2023,2023-01-03,2023-12-29,0.14470784405102166,0.16327249896672683,0.8932642642665704,-0.17896302351393345,0.8991852354358647,0.47470817120622566
exec_best_sharpe,2024,2024-01-02,2024-12-31,0.31572696776319176,0.20813385974065982,1.3873670861257674,-0.16259333391901576,1.183082263277462,0.555984555984556
exec_best_sharpe,2025,2025-01-02,2025-12-31,1.7247896515481167,0.3366743239937232,3.08268114704506,-0.2534210979306962,3.223650307908553,0.6124031007751938
exec_best_sharpe,2026,2026-01-02,2026-06-18,3.251801850957883,0.48774452794707845,6.618367687224466,-0.12854840074496487,13.706322346006536,0.6610169491525424
exec_highest_return,2022,2022-01-03,2022-12-30,-0.3340279792638866,0.3190786105163251,-1.0894340569959733,-0.4036213365421629,0.6659720207361134,0.42023346303501946
exec_highest_return,2023,2023-01-03,2023-12-29,0.17781953407838968,0.23633460116951116,0.7969862891914747,-0.2649852740083707,0.7843948551726527,0.48638132295719844
exec_highest_return,2024,2024-01-02,2024-12-31,0.3760656488797889,0.28725915096876203,1.2254945348086819,-0.23487034488895286,1.0793788153611243,0.5598455598455598
exec_highest_return,2025,2025-01-02,2025-12-31,2.9623179692819437,0.4954358916536216,2.971791369714447,-0.3800595197121248,4.27684207576764,0.5968992248062015
exec_highest_return,2026,2026-01-02,2026-06-18,6.157244962106867,0.6799339944123403,6.569657577162314,-0.17937895835899353,30.610406400514616,0.6864406779661016
research_full_sample_best,2022,2022-01-03,2022-12-30,-0.2178475885860245,0.2189348071505459,-0.9908893453955716,-0.28850386596538447,0.7821524114139755,0.4280155642023346
research_full_sample_best,2023,2023-01-03,2023-12-29,0.2206712559036237,0.17777746106303402,1.1887389466809364,-0.1639697032206826,0.9547509663487452,0.48249027237354086
research_full_sample_best,2024,2024-01-02,2024-12-31,0.37705703115469125,0.2330389366179853,1.4528500585578268,-0.1721075730401046,1.3147465312122757,0.5482625482625483
research_full_sample_best,2025,2025-01-02,2025-12-31,1.852819963655556,0.35484004822560605,3.0691944047618733,-0.2591244697351105,3.750735151389273,0.6162790697674418
research_full_sample_best,2026,2026-01-02,2026-06-18,3.332659564499645,0.49631863940229154,6.593852993468557,-0.12854628647975852,16.250658527571755,0.6610169491525424
