date,base_series,variant,underlying_return,strategy_return,nav,exposure,raw_exposure
2022-01-03,available_equal_weight,best_vs_80,0.0,0.0,1.0,0.8,0.8
2022-01-04,available_equal_weight,best_vs_80,0.0025738518138495,0.0020590814510796003,1.0020590814510797,0.8,0.8
2022-01-05,available_equal_weight,best_vs_80,-0.0308942601496867,-0.02471540811974936,0.977292782292915,0.8,0.8
2022-01-06,available_equal_weight,best_vs_80,-0.010890833356811,-0.008712669227403385,0.9687779535424681,0.8000002334031292,0.8000004668062584
2022-01-07,available_equal_weight,best_vs_80,-0.0046813709193278,-0.0037451037160848286,0.9651497796285952,0.8000014911492186,0.8000027488953079
2022-01-10,available_equal_weight,best_vs_80,0.0085476356836316,0.006838136777329777,0.9717496058323052,0.8000033027173292,0.8000051142854399
2022-01-11,available_equal_weight,best_vs_80,0.0033176000592056,0.002654088127476318,0.9743287149240245,0.8000024355292059,0.8000015683410827
2022-01-12,available_equal_weight,best_vs_80,0.0079655255655961,0.006372433816043515,0.9805375601749486,0.8000016776754434,0.8000009198216809
2022-01-13,available_equal_weight,best_vs_80,-0.0128779556922213,-0.010302376650561542,0.9704356929100036,0.8000009393404351,0.8000002010054269
2022-01-14,available_equal_weight,best_vs_80,0.0026892686662955,0.002151418916454665,0.972523506616933,0.800001481227337,0.8000020231142391
2022-01-17,available_equal_weight,best_vs_80,-0.0043598948197642,-0.003487922012252849,0.9691314204707704,0.800001412061929,0.8000013428965209
2022-01-18,available_equal_weight,best_vs_80,-0.0239361432970548,-0.01914896239471089,0.9505735593446428,0.8000019951863782,0.8000025783108273
2022-01-19,available_equal_weight,best_vs_80,-0.0180451136524285,-0.014436448869938664,0.9368506527580482,0.8000198362838138,0.8000376773812494
2022-01-20,available_equal_weight,best_vs_80,-0.0182928527566084,-0.014635886108758548,0.9231390133033653,0.8000876792424434,0.8001555222010731
2022-01-21,available_equal_weight,best_vs_80,-0.0299520279219766,-0.023970255083474393,0.9010111356769768,0.8002882190787082,0.800488758914973
2022-01-24,available_equal_weight,best_vs_80,-0.0033323393072129,-0.002669939681720847,0.8986054902921605,0.8012208348476764,0.8021534506166444
2022-01-25,available_equal_weight,best_vs_80,-0.0261932726048644,-0.021003085953164316,0.8797320019415689,0.8018503938016434,0.8024799527556103
2022-01-26,available_equal_weight,best_vs_80,-0.0112447307967183,-0.009044296976550171,0.8717754444562343,0.8043142285976014,0.8067780633935594
2022-01-27,available_equal_weight,best_vs_80,-0.0099261319541686,-0.008011414852647914,0.864791289712344,0.8071034003616507,0.8098925721257001
2022-01-28,available_equal_weight,best_vs_80,-0.0015221398278126,-0.0012334173159774542,0.8637246411609063,0.810318009844039,0.8135326193264272
2022-01-31,available_equal_weight,best_vs_80,0.0376347391415175,0.030568703031675314,0.8901275832176944,0.8122469752408314,0.814175940637624
2022-02-01,available_equal_weight,best_vs_80,0.0053613049333748,0.004332537935722828,0.8939840947396184,0.8081125751218201,0.8039781750028088
2022-02-02,available_equal_weight,best_vs_80,0.0066988874758587,0.005397079363747135,0.8988089978488558,0.8056680132629497,0.8032234514040792
2022-02-03,available_equal_weight,best_vs_80,-0.0213571078849448,-0.017172383769490287,0.8833743048023244,0.8040594195619324,0.8024508258609151
2022-02-04,available_equal_weight,best_vs_80,0.0100176616260205,0.008062781150905354,0.8904967584962786,0.8048566074504436,0.8056537953389549
2022-02-07,available_equal_weight,best_vs_80,0.0031147540926174,0.0025054407627235235,0.8927278453740884,0.8043783516207353,0.8039000957910271
2022-02-08,available_equal_weight,best_vs_80,0.0229796807725315,0.018473747433424878,0.909219874116315,0.8039166260093249,0.8034549003979145
2022-02-09,available_equal_weight,best_vs_80,0.0356654807784694,0.028625326916481165,0.9352465902518563,0.8026059453476302,0.8012952646859356
2022-02-10,available_equal_weight,best_vs_80,-0.0239365980855982,-0.019182620719194497,0.917306109632135,0.801392940241412,0.8001799351351939
2022-02-11,available_equal_weight,best_vs_80,-0.0098361773727767,-0.007879479695547004,0.9100782147666874,0.8010713305511152,0.8007497208608183
2022-02-14,available_equal_weight,best_vs_80,-0.0008086705152491,-0.0006478649211349643,0.9094886070158509,0.8011481919003789,0.8012250532496425
2022-02-15,available_equal_weight,best_vs_80,0.061207915612835,0.04904042843843627,0.9540903179637847,0.8012105615332004,0.8012729311660217
2022-02-16,available_equal_weight,best_vs_80,0.0110078181702587,0.008813052998262615,0.9624987665011289,0.8006176030481701,0.8000246445631398
2022-02-17,available_equal_weight,best_vs_80,-0.0217837274125434,-0.017433793234282322,0.9457187620176964,0.800312678547551,0.8000077540469318
2022-02-18,available_equal_weight,best_vs_80,-0.0292868161118912,-0.023434978957287855,0.9235558627302994,0.8001886878981239,0.8000646972486969
2022-02-21,available_equal_weight,best_vs_80,0.0010164045050668,0.000813460115462025,0.9243071385890318,0.800331080201738,0.8004734725053521
2022-02-22,available_equal_weight,best_vs_80,-0.0336014401591053,-0.02689422322388724,0.8994486160763859,0.8003890040587875,0.8004469279158369
2022-02-23,available_equal_weight,best_vs_80,-0.0262999451169196,-0.02107612028286526,0.8804917288557034,0.8013750671025665,0.8023611301463454
2022-02-24,available_equal_weight,best_vs_80,-0.0428499413048327,-0.03444930552411134,0.8501594002769003,0.8039522219888332,0.8065293768751
2022-02-25,available_equal_weight,best_vs_80,0.0085214199144018,0.006939850130967987,0.8560593791022557,0.8144006750845774,0.8248491281803215
2022-02-28,available_equal_weight,best_vs_80,-0.0070271643767988,-0.005741168039843918,0.8511445983547452,0.8169964059470722,0.819592136809567
2022-03-01,available_equal_weight,best_vs_80,-0.0055208455048896,-0.004529561333387403,0.8472892866929159,0.8204470364866661,0.82389766702626
2022-03-02,available_equal_weight,best_vs_80,0.0168008187909029,0.013845972706298322,0.859020831030805,0.8241248762111206,0.8278027159355752
2022-03-03,available_equal_weight,best_vs_80,-0.0127330718909088,-0.010450352147724455,0.8500437608443021,0.8207251350858886,0.8173253939606566
2022-03-04,available_equal_weight,best_vs_80,-0.0324883044669127,-0.02673280613428816,0.8273197057799901,0.8228439917975358,0.8249628485091829
2022-03-07,available_equal_weight,best_vs_80,-0.0367429950550687,-0.030872009952742436,0.8017786835890504,0.8402148465706972,0.8575857013438587
2022-03-08,available_equal_weight,best_vs_80,0.00298248376571,0.0026406493636558248,0.8038958999596627,0.8853859974078353,0.9305571482449735
2022-03-09,available_equal_weight,best_vs_80,0.0067409202779267,0.006093380777619325,0.8087943437836839,0.9039390063063409,0.9224920152048466
2022-03-10,available_equal_weight,best_vs_80,-0.0044501065298052,-0.004025900019275562,0.8055382186194552,0.9046749762756336,0.9054109462449265
2022-03-11,available_equal_weight,best_vs_80,-0.014261457800497,-0.012986488745900818,0.7950771056089606,0.9106003697215476,0.9165257631674615
2022-03-14,available_equal_weight,best_vs_80,-0.0129899208312206,-0.01214338002260327,0.7854221821682795,0.9348309493478426,0.9590615289741377
