date,available_equal_weight_nav,available_equal_weight_return,fixed_10_slot_cash_nav,fixed_10_slot_cash_return,SPY_nav,SPY_return,QQQ_nav,QQQ_return,active_prior_close_count
2022-01-03,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
2022-01-04,1.0025738518138496,0.0025738518138495176,1.0020590814510797,0.0020590814510796146,0.999665068766811,-0.0003349312331889509,0.9870294762001667,-0.012970523799833322,8
2022-01-05,0.971600074416639,-0.030894260149686742,0.977292782292915,-0.024715408119749396,0.9804693223939399,-0.019202177781955543,0.956706831309218,-0.030721113829025426,8
2022-01-06,0.9610185399167022,-0.010890833356811097,0.9687779560267019,-0.008712666685448877,0.9795482614993418,-0.0009394081727607251,0.9560346544515818,-0.000702594395313727,8
2022-01-07,0.9565196556710012,-0.004681370919327882,0.9651497888661985,-0.0037450967354623055,0.9756756190992296,-0.00395349831378855,0.9456781517619337,-0.010832769127588682,8
2022-01-10,0.9646956372119097,0.008547635683631677,0.9717495878864884,0.006838108546905343,0.9744614933750365,-0.0012443948587277376,0.9463005377427434,0.0006581372104770278,8
2022-01-11,0.9678961115150393,0.0033176000592056026,0.9743286890787325,0.0026540800473644826,0.983337171087828,0.009108289833034577,0.9605158334990763,0.015021967323659569,8
2022-01-12,0.9756059127361535,0.007965525565596182,0.9805375211444528,0.006372420452476946,0.9859956877615282,0.0027035657268597024,0.9643248356914947,0.003965579805740971,8
2022-01-13,0.9630421030188681,-0.012877955692221388,0.9704356661429657,-0.01030236455377711,0.972410039563433,-0.013778608128538816,0.9402011551497512,-0.025016135278155494,8
2022-01-14,0.9656319819708401,0.002689268666295583,0.9725234759266568,0.0021514149330364657,0.9728077704053413,0.0004090155651692573,0.9460515833509313,0.0062225281995620385,8
2022-01-17,0.9614219280948467,-0.004359894819764232,0.9691313958748233,-0.0034879158558113856,0.9728077704053413,0.0,0.9460515833509313,0.0,8
2022-01-18,0.9384091950550377,-0.023936143297054888,0.9505735815025557,-0.01914891463764391,0.9555797450346667,-0.017709588569071677,0.9225004979080512,-0.024894081736496543,8
2022-01-19,0.9214754944777855,-0.018045113652428516,0.936851014851988,-0.014436090921942812,0.9456574072142764,-0.010383579049208835,0.9123680541718018,-0.010983672918580267,8
2022-01-20,0.9046190789384805,-0.018292852756608427,0.9231408727163347,-0.014634282205286741,0.9351908061382898,-0.011068068622038463,0.9005178251338422,-0.012988430473616974,8
2022-01-21,0.8775239030273623,-0.029952027921976696,0.9010209197599206,-0.023961622337581357,0.9168323878506099,-0.01963066592098761,0.8755476996630099,-0.02772862987706093,8
2022-01-24,0.8745996956322852,-0.003332339307212981,0.8986189138178909,-0.002665871445770385,0.9207259634514094,0.004246769259458105,0.879555865365294,0.004577895303507384,8
2022-01-25,0.8516910673844573,-0.02619327260486448,0.8797886976758756,-0.02095461808389159,0.9094848338967318,-0.012208985084486312,0.8591665006981692,-0.0231814322091487,8
2022-01-26,0.8421140306097493,-0.011244730796718352,0.8718743080251871,-0.008995784637374684,0.9072031148620336,-0.0025088038301002147,0.8578221469828968,-0.001564718496566142,8
2022-01-27,0.8337550956214601,-0.009926131954168693,0.8649508364820611,-0.007940905563334955,0.9027234095998249,-0.004937929763270343,0.8491834295949591,-0.010070522681562388,8
2022-01-28,0.8324860037837729,-0.0015221398278126574,0.8638975755882137,-0.0012177118622501242,0.9251428691048988,0.024835358501462235,0.8758215494932351,0.0313690999728784,8
2022-01-31,0.8638163973751396,0.037634739141517576,0.8899076235100153,0.030107791313214064,0.9418056980192896,0.01801108722862721,0.9038289185426367,0.03197839681566084,8
2022-02-01,0.8684475804879169,0.005361304933374819,0.8937244764157529,0.004289043946699855,0.9481693914720694,0.006756906935436069,0.9099780920150152,0.006803470597393169,8
2022-02-02,0.8742652131082872,0.00669888747585877,0.898514044177297,0.005359109980687015,0.9573800004202687,0.009714096480059942,0.9173720374438935,0.008125410373897468,8
2022-02-03,0.8555934366318793,-0.02135710788494488,0.8831623150751908,-0.017085686307955907,0.9348768081057881,-0.023504974309680793,0.8801782513435439,-0.040543841083257814,8
2022-02-04,0.8641644821695015,0.010017661626020524,0.8902400920618119,0.008014129300816419,0.9392727805585899,0.004702194358322753,0.8912816172086278,0.012614905955850686,8
2022-02-07,0.8668561420270336,0.003114754092617425,0.8924583952379411,0.00249180327409394,0.9362583994487944,-0.0032092712278990465,0.8841117307305884,-0.008044468033004515,8
2022-02-08,0.8867762194465232,0.02297968077253154,0.908865122458208,0.018383744618025232,0.9439618178409868,0.008227876403274603,0.894045010954412,0.011235322277214133,8
2022-02-09,0.9184035196559969,0.03566548077846943,0.9347972117024117,0.028532384622775544,0.9577777312599576,0.01463609349218209,0.9129904401526117,0.021190688350215092,8
2022-02-10,0.8964200637255925,-0.023936598085598226,0.9168965195839649,-0.01914927846847858,0.9405706390921895,-0.017965642347031907,0.8923272256527017,-0.022632454395093093,8
2022-02-11,0.8876027169782718,-0.0098361773727767,0.9096815141446772,-0.007868941898221361,0.9220238219850088,-0.019718686014993603,0.8640211113321019,-0.03172167508381807,8
2022-02-14,0.8868849388317964,-0.0008086705152491741,0.9090930080496724,-0.0006469364121993397,0.9190094408752134,-0.0032693093583046062,0.8650916152171493,0.0012389788524922452,8
2022-02-15,0.9411693173261074,0.061207915612835034,0.9536079585464106,0.04896633249026803,0.933830147998189,0.01612682793428233,0.8866012746461478,0.02486402486238326,8
2022-02-16,0.9515295380386597,0.01100781817025874,0.962005672957123,0.008806254536206991,0.9348768081057878,0.0011208249271481563,0.886377215695309,-0.00025271670281346026,8
2022-02-17,0.9308016779570422,-0.021783727412543405,0.9452408174779083,-0.017426981930034724,0.9149065332520065,-0.021361397224351153,0.8600129456298181,-0.029743849005425704,8
2022-02-18,0.9035414603780745,-0.029286816111891212,0.923094342275565,-0.02342945288951297,0.9089824370447289,-0.006475083510684487,0.8502041426006203,-0.011405413231325823,8
2022-02-21,0.9044598239889174,0.0010164045050668619,0.9238449320740374,0.0008131236040534895,0.9089824370447289,0.0,0.8502041426006203,0.0,8
2022-02-22,0.8740686713368389,-0.033601440159105336,0.8990109159129346,-0.02688115212728427,0.8992275648409331,-0.01073163991540993,0.8416650069714551,-0.010043629760548511,8
2022-02-23,0.8510807132522611,-0.026299945116919674,0.8800957657145171,-0.02103995609353574,0.8832764648009521,-0.017738668901684185,0.8201055566630703,-0.02561523899628626,8
2022-02-24,0.8146119546437265,-0.042849941304832787,0.849926124191718,-0.03427995304386623,0.8965690481672333,0.015049176442481826,0.8476648078082345,0.03360451702985667,8
