year,start,end,strategy_return,benchmark_return,strategy_max_drawdown,strategy_sharpe,strategy_turnover_annualized,strategy_mode
2026,2026-01-01,2026-06-26,0.6632362941320071,0.0719451917063878,-0.1484024804942936,2.444141791808288,81.03239795649824,mode_a
2025,2025-01-01,2025-12-31,-0.12893018431003556,0.17719073766190463,-0.3283557990618856,-0.37739867813505557,95.91808718759334,mode_a
2024,2024-01-01,2024-12-31,-0.0876345757310435,0.2488624543686917,-0.16828557632055197,-0.22515899776040751,97.12580007780821,mode_a
2023,2023-01-01,2023-12-31,-0.15591641978122417,0.2617602833042272,-0.2662454498692466,-0.8056046840381804,102.6224001611675,mode_a
2022,2022-01-03,2022-12-31,-0.4485855342923809,-0.18646259383200026,-0.5029761509853496,-2.4200677915682687,91.918002777217,mode_a
