date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-05-08,long,US.FTXL,339.2023530019802,0.1155522801956051,81964.85657939849,81964.85657939849,First Trust Exchange-Traded Fund VI First Trust Nasdaq Semiconductor ETF,,
2026-05-08,long,US.SOXX,153.21314995925704,0.11238302141447185,79716.80192380142,79716.80192380142,半导体ETF-iShares,,
2026-05-08,long,US.EWY,408.9767996202495,0.10966297443409227,77787.38728777145,77787.38728777145,韩国ETF-iShares MSCI,,
2026-05-08,long,US.SMH,132.89147792120653,0.10613986871587953,75288.33790148034,75288.33790148034,半导体指数ETF-VanEck,,
2026-05-08,long,US.DRAM,1356.2466808745303,0.10095398051816057,71609.82475017519,71609.82475017519,Roundhill Memory ETF,,
2026-05-08,long,US.EWT,723.4434939994277,0.09802210601486958,69530.15420828499,69530.15420828499,安硕MSCI台湾ETF,,
2026-05-08,long,US.XLK,369.78055378877934,0.09150008874766535,64903.882801006555,64903.882801006555,科技行业精选指数ETF-SPDR,,
2026-05-08,long,US.VGT,567.6383685507968,0.0899794670817214,63825.2581598516,63825.2581598516,资讯科技ETF-Vanguard,,
2026-05-08,long,US.IYW,262.24401552119014,0.08822662439331973,62581.91186397681,62581.91186397681,美国科技ETF-iShares,,
2026-05-08,long,US.SPMO,431.97934079484475,0.08757958848421456,62122.94899970663,62122.94899970663,Invesco S&P 500 Momentum ETF,,
